Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Customer ID,konpkl__,kla__ref,nchar,False,6,,
2,,konpkl__,uuid,UUID,False,0,,
3,Contact ID,konpkl__,knp__ref,nchar,False,3,,
4,Contact name,konpkl__,knp__nam,nchar,False,30,,
5,Contact first name,konpkl__,knp__vnm,nchar,False,15,,
6,Initials,konpkl__,knp_lett,nchar,False,10,,
7,Title,konpkl__,knp__sex,nchar,False,1,Geslacht,
8,Street (Home),konpkl__,straat_p,nchar,False,40,,
9,District,konpkl__,wijk___p,nchar,False,40,,
10,Country ID (Home),konpkl__,landrefp,nchar,False,3,,
11,County (Home),konpkl__,county_p,nchar,False,40,,
12,State (Home) (enkel US),konpkl__,state__p,nchar,False,40,,
13,Postal code (Home),konpkl__,postrefp,nchar,False,40,,
14,City (Home),konpkl__,postnamp,nchar,False,40,,
15,Phone (Home),konpkl__,tel__pkp,nchar,False,40,,
16,Speed dial (phone) (Home),konpkl__,sptelpkp,integer,False,0,,
17,Fax (Home),konpkl__,fax__pkp,nchar,False,40,,
18,Speed dial (fax) (Home),konpkl__,spfaxpkp,integer,False,0,,
19,E-mail (Home),konpkl__,emailpkp,nchar,False,200,,
20,Opnemen in mailing (Y/N),konpkl__,mailingp,nchar,False,1,,
21,Street (Work address),konpkl__,straat__,nchar,False,40,,
22,District (Work address),konpkl__,wijk____,nchar,False,40,,
23,Country ID (Work address),konpkl__,land_ref,nchar,False,3,,
24,County (Work address),konpkl__,county__,nchar,False,40,,
25,State (Work address) (enkel US),konpkl__,state___,nchar,False,40,,
26,Postal code (Work address),konpkl__,post_ref,nchar,False,40,,
27,City (Work address),konpkl__,postnaam,nchar,False,40,,
28,Phone (Work address),konpkl__,telefoon,nchar,False,60,,
29,Speed dial (phone) (Work address),konpkl__,speedtel,integer,False,0,,
30,Fax (Work address),konpkl__,telefax_,nchar,False,40,,
31,Speed dial (fax) (Work address),konpkl__,speedfax,integer,False,0,,
32,E-mail (Work address),konpkl__,email___,nchar,False,200,,
33,Mobile,konpkl__,tel_auto,nchar,False,40,,
34,In mailing (Y/N),konpkl__,mailing_,nchar,False,1,,
35,Criterion (01),konpkl__,knpkr__1,nchar,False,20,,
36,Criterion (02),konpkl__,knpkr__2,nchar,False,20,,
37,Criterion (03),konpkl__,knpkr__3,nchar,False,20,,
38,Criterion (04),konpkl__,knpkr__4,nchar,False,20,,
39,Criterion (05),konpkl__,knpkr__5,nchar,False,20,,
40,Function,konpkl__,funktie_,nchar,False,100,,
41,Internal function,konpkl__,funk_int,nchar,False,100,,
42,Language,konpkl__,taal_ref,nchar,False,1,Taal,
43,Comment,konpkl__,comment_,nchar,False,40,,
44,Employed (Y/N),konpkl__,in_gebr_,nchar,False,1,,
45,Can this contact send files?,konpkl__,sender__,nchar,False,1,,
46,Can this contact approve pages/proofs/... ?,konpkl__,approver,nchar,False,1,,
47,Work address,konpkl__,werkadrs,nchar,False,1,WerkAdresKla,
48,Prefix 1,konpkl__,voorvg_1,nchar,False,25,,
49,Prefix 2,konpkl__,voorvg_2,nchar,False,25,,
50,Suffix,konpkl__,achtvg__,nchar,False,25,,
51,Department 1,konpkl__,dienst_1,nchar,False,50,,
52,Department 2,konpkl__,dienst_2,nchar,False,50,,
53,Department 3,konpkl__,dienst_3,nchar,False,50,,
54,Surname 2,konpkl__,knp_nam2,nchar,False,30,,
55,Other software ID,konpkl__,cdeklaap,nchar,False,30,,
56,Other software ID,konpkl__,cde__aap,nchar,False,30,,
57,Process ID,konpkl__,jobnr_vw,nchar,False,10,,
58,Internet orders: bevestiging,konpkl__,web_bvst,nchar,False,1,WebBevestiging,
59,Layout : Quote letter,konpkl__,ofblaynr,nchar,False,2,,
60,Quote letter (L&L),konpkl__,ofblulnr,nchar,False,2,,
61,Layout : Standard calculation,konpkl__,artlaynr,nchar,False,2,,
62,Layout : Order confirmation,konpkl__,ordlaynr,nchar,False,2,,
63,Order confirmation (L&L),konpkl__,ordlulnr,nchar,False,2,,
64,Layout : Message,konpkl__,brflaynr,nchar,False,2,,
65,Internet confirmation receipt,konpkl__,ontlaynr,nchar,False,2,,
66,Order form,konpkl__,bstlaynr,nchar,False,2,,
67,RMA,konpkl__,rmalaynr,nchar,False,2,,
68,Call-off contracts,konpkl__,afrlaynr,nchar,False,2,,
69,Layout : Invoice,konpkl__,af1laynr,nchar,False,2,,
70,Layout : Packing labels,konpkl__,etilaynr,nchar,False,2,,
71,Layout : Project (L&L),konpkl__,konlaynr,nchar,False,2,,
72,LinkedIn,konpkl__,linkedin,nchar,False,255,,
73,Facebook,konpkl__,facebook,nchar,False,255,,
74,Twitter,konpkl__,twitter_,nchar,False,255,,
75,Date of birth,konpkl__,datum___,date,False,0,,
76,Answer (01),konpkl__,antw__01,nchar,False,6,,
77,Answer (02),konpkl__,antw__02,nchar,False,6,,
78,Answer (03),konpkl__,antw__03,nchar,False,6,,
79,Answer (04),konpkl__,antw__04,nchar,False,6,,
80,Answer (05),konpkl__,antw__05,nchar,False,6,,
81,Answer (06),konpkl__,antw__06,nchar,False,6,,
82,Answer (07),konpkl__,antw__07,nchar,False,6,,
83,Answer (08),konpkl__,antw__08,nchar,False,6,,
84,Answer (09),konpkl__,antw__09,nchar,False,6,,
85,Answer (10),konpkl__,antw__10,nchar,False,6,,
86,Answer (11),konpkl__,antw__11,nchar,False,6,,
87,Answer (12),konpkl__,antw__12,nchar,False,6,,
88,Answer (13),konpkl__,antw__13,nchar,False,6,,
89,Answer (14),konpkl__,antw__14,nchar,False,6,,
90,Answer (15),konpkl__,antw__15,nchar,False,6,,
91,Answer (16),konpkl__,antw__16,nchar,False,6,,
92,Answer (17),konpkl__,antw__17,nchar,False,6,,
93,Answer (18),konpkl__,antw__18,nchar,False,6,,
94,Answer (19),konpkl__,antw__19,nchar,False,6,,
95,Answer (20),konpkl__,antw__20,nchar,False,6,,
96,Answer (21),konpkl__,antw__21,nchar,False,6,,
97,Answer (22),konpkl__,antw__22,nchar,False,6,,
98,Answer (23),konpkl__,antw__23,nchar,False,6,,
99,Answer (24),konpkl__,antw__24,nchar,False,6,,
100,Answer (25),konpkl__,antw__25,nchar,False,6,,
101,Answer (26),konpkl__,antw__26,nchar,False,6,,
102,Answer (27),konpkl__,antw__27,nchar,False,6,,
103,Answer (28),konpkl__,antw__28,nchar,False,6,,
104,Answer (29),konpkl__,antw__29,nchar,False,6,,
105,Answer (30),konpkl__,antw__30,nchar,False,6,,
106,Creation date,konpkl__,aanmaak_,date,False,0,,
107,Latest change date,konpkl__,wij__dat,date,False,0,,
108,Created by,konpkl__,user____,nchar,False,30,,
109,User latest modif.,konpkl__,wij__usr,nchar,False,30,,
110,Digital invoices (PDF),konpkl__,fac__eml,nchar,False,1,DigitaleFacturenVersturen,
111,Digital invoices (EDI export),konpkl__,fac2_eml,nchar,False,1,DigitaleFacturenVersturen,
112,Cerm8 Record Version,konpkl__,cerm8_record_version,integer,False,0,,
