Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Customer ID,klabas__,kla__ref,nchar,False,6,,
2,,klabas__,uuid,UUID,False,0,,
3,Global location number,klabas__,gln_____,nchar,False,13,,
4,klassificatie firma (APE-nummer in Frankrijk),klabas__,ape___nr,nchar,False,5,,
5,Name,klabas__,naam____,nchar,False,100,,
6,Department,klabas__,dienst__,nchar,False,40,,
7,Street,klabas__,straat__,nchar,False,40,,
8,District,klabas__,wijk____,nchar,False,40,,
9,Country,klabas__,land_ref,nchar,False,3,,
10,County,klabas__,county__,nchar,False,40,,
11,State (Enkel US),klabas__,state___,nchar,False,40,,
12,Postal code,klabas__,post_ref,nchar,False,40,,
13,City,klabas__,postnaam,nchar,False,40,,
14,Customer keyword,klabas__,kla__rpn,nchar,False,10,,
15,Phone,klabas__,telefoon,nchar,False,40,,
16,Fax,klabas__,telefax_,nchar,False,40,,
17,Phone (Short),klabas__,speedtel,integer,False,0,,
18,Fax (Short),klabas__,speedfax,integer,False,0,,
19,E-mail,klabas__,telex___,nchar,False,200,,
20,Language,klabas__,taal_ref,nchar,False,1,Taal,
21,Comment,klabas__,kla__com,nchar,False,50,,
22,Opnemen in mailing (Y/N),klabas__,mailing_,nchar,False,1,,
23,Beware,klabas__,letop___,nchar,False,1,,
24,Website,klabas__,website_,nchar,False,40,,
25,Site ID,klabas__,dos__ref,nchar,False,2,,
26,Journal ID,klabas__,dgbk_ref,nchar,False,3,,
27,Currency ID,klabas__,munt_ref,nchar,False,3,,
28,Equivalente muntkode (EUR),klabas__,munt2ref,nchar,False,3,,
29,Term of payment ID,klabas__,betk_ref,nchar,False,4,,
30,Manner of payment ID,klabas__,betw_ref,nchar,False,2,,
31,Collective account,klabas__,centrref,nchar,False,6,,
32,VAT administration,klabas__,btw_beh_,nchar,False,1,,
33,Sales tax administration,klabas__,stx_beh_,nchar,False,1,,
34,VAT no.,klabas__,btw___nr,nchar,False,40,,
35,VAT,klabas__,btw_____,nchar,False,1,,
36,Landcode BTW (1-4),klabas__,land__nr,nchar,False,1,,
37,Trading name,klabas__,handelnm,nchar,False,100,,
38,Trade no. (Nr de Siret in Fr.),klabas__,handelnr,nchar,False,40,,
39,Bank account,klabas__,bankrek_,nchar,False,40,,
40,Country code of bank account (1-4),klabas__,land_rek,nchar,False,1,CtrlBankrekening,
41,IBAN,klabas__,iban____,nchar,False,34,,
42,BIC/SWIFT,klabas__,bic_____,nchar,False,11,,
43,No. of invoices,klabas__,fkt___ex,integer,False,0,,
44,Commentaar facturatie (Afdrukbaar op faktuur),klabas__,fkt_com1,nchar,False,40,,
45,Commentaar facturatie (idem),klabas__,fkt_com2,nchar,False,40,,
46,Invoice footer,klabas__,fkt_form,nchar,False,6,,
47,Account,klabas__,arek_ref,nchar,False,6,,
48,Invoice customer,klabas__,fkla_ref,nchar,False,6,,
49,Invoice customer contact,klabas__,fknp_ref,nchar,False,3,,
50,Invoice customer supplementary costs,klabas__,fkla2ref,nchar,False,6,,
51,,klabas__,fkla2typ,nchar,False,1,FactuurklantVanFactuurlijnen,
52,Invoice customer contact (suppl. costs),klabas__,fknp2ref,nchar,False,3,,
53,,klabas__,fstckcre,nchar,False,1,StockorderKopierenFactuurlijnen,
54,,klabas__,fstcktst,nchar,False,1,StockorderFacTstVersieAfpunten,
55,Invoice address ID,klabas__,flok_ref,nchar,False,6,,
56,Invoice address contact ID,klabas__,fknp3ref,nchar,False,3,,
57,"facturen standaard groeperen per (sales order,best)",klabas__,grp__fac,nchar,False,1,FacturerenPer,
58,Production job invoice model,klabas__,fmdporef,nchar,False,6,,
59,Sales order invoice model,klabas__,fmdkoref,nchar,False,6,,
60,Invoice mode (volgens order- of nacalculatie),klabas__,fac__typ,nchar,False,1,,
61,Customer group ID,klabas__,klgr_ref,nchar,False,12,,
