Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Question ID,gegvrg__,vrg__ref,nchar,False,6,,
2,Table name,gegvrg__,tabname_,nchar,False,100,,
3,Sequence number,gegvrg__,volgnr__,nchar,False,6,,
4,Question,gegvrg__,vrg__oms,nchar,False,50,,
5,Question (Hint),gegvrg__,vrg_hint,nchar,False,255,,
6,Blocked (Y/N),gegvrg__,geblokk_,nchar,False,1,,
7,Answer (Type),gegvrg__,antw_typ,integer,False,0,,
8,Answer (Type detail),gegvrg__,antwtypd,integer,False,0,,
9,Answer (Length),gegvrg__,antw_len,integer,False,0,,
10,Answer (Decimals),gegvrg__,antw_dec,integer,False,0,,
11,Answer (Extended view),gegvrg__,antw_dsp,nchar,False,50,,
12,Question (Tags),gegvrg__,vrg__tag,nchar,False,50,,
13,Grouping,gegvrg__,vrg_groep,nchar,False,20,,
14,Appearance condition,gegvrg__,tooncond,nchar,False,-1,,
15,Sequence number BI,gegvrg__,bi_sequence_nr,integer,False,0,,
16,Latest change date,gegvrg__,last_edit_time,datetime2,False,0,,
17,User latest modif.,gegvrg__,last_edit_usr,nchar,False,6,,
18,Latest change date,gegvrg__,last_edit_definition_time,datetime2,False,0,,
19,User latest modif.,gegvrg__,last_edit_definition_usr,nchar,False,6,,
