Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Site ID,dosbas__,dos__ref,nchar,False,2,,
2,Site,dosbas__,dos_oms_,nchar,False,20,,
3,Language for internal documents,dosbas__,taal_ref,nchar,False,1,Taal,
4,Name,dosbas__,naam____,nchar,False,40,,
5,Department,dosbas__,afdeling,nchar,False,40,,
6,Street,dosbas__,straat__,nchar,False,40,,
7,Town,dosbas__,gemeente,nchar,False,40,,
8,Country ID,dosbas__,land_ref,nchar,False,3,,
9,Phone,dosbas__,telefoon,nchar,False,40,,
10,Fax,dosbas__,telefax_,nchar,False,40,,
11,E-mail,dosbas__,email___,nchar,False,100,,
12,Trade no.,dosbas__,hand_reg,nchar,False,40,,
13,VAT no.,dosbas__,btw___nr,nchar,False,40,,
14,VAT no.,dosbas__,vat__num,nchar,False,40,,
15,Bank account,dosbas__,bankrek_,nchar,False,40,,
16,VAT system,dosbas__,btw__ref,nchar,False,3,,
17,Delivery address (Materials),dosbas__,lokgrref,nchar,False,6,,
18,Contact (Materials),dosbas__,knpgrref,nchar,False,3,,
19,Stock location ID,dosbas__,vak__ref,nchar,False,10,,
20,Delivery address (Outside Services),dosbas__,lokoaref,nchar,False,6,,
21,Contact (Outside Services),dosbas__,knpoaref,nchar,False,3,,
22,Scheduling calendar ID,dosbas__,kal1_ref,nchar,False,6,,
23,Shipment calendar ref,dosbas__,kal2_ref,nchar,False,6,,
24,GS1 company code,dosbas__,gs1_prfx,nchar,False,10,,
25,Surcharge paper (Estimate),dosbas__,papwa__t,float,False,0,,
26,Surcharge paper (Nacalcuatie),dosbas__,papwa_tn,float,False,0,,
27,Accounting program,dosbas__,srt___ap,nchar,False,1,,
28,Journal (Import),dosbas__,dgbk_akp,nchar,False,3,,
29,Default customer for stock orders,dosbas__,stockorder_kla__ref,nchar,True,6,,
30,Default contact for stock orders,dosbas__,stockorder_knp__ref,nchar,True,3,,
