Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Calculation ID,v4etaf__,off__ref,nchar,False,6,,
2,Press sheet ID,v4etaf__,kpn__ref,nchar,False,6,,
3,Press run ID,v4etaf__,dg___ref,nchar,False,6,,
4,"numper,lak,plas,ril,vouw",v4etaf__,type____,nchar,False,1,Afwerkingstype,
5,Sequence no. (Finishing),v4etaf__,etaf_ref,nchar,False,6,,
6,Finishing type ID,v4etaf__,etas_ref,nchar,False,6,,
7,Finishing process ID,v4etaf__,etap_ref,nchar,False,7,,
8,Comment,v4etaf__,komment_,nchar,False,50,,
9,Comment,v4etaf__,komment2,nchar,False,50,,
10,Finishing type (Inline/Offline),v4etaf__,etap_typ,nchar,False,1,,
11,,v4etaf__,aantprod,integer,False,0,,
12,Number of end-products,v4etaf__,ant__keu,nchar,False,1,,
13,,v4etaf__,ant__prc,integer,False,0,,
14,,v4etaf__,ant__vst,integer,False,0,,
15,,v4etaf__,stl____t,nchar,False,6,,
16,,v4etaf__,stl___t2,nchar,False,6,,
17,Make-ready time per change,v4etaf__,stl____w,nchar,False,6,,
18,No. of changes,v4etaf__,ant____w,integer,False,0,,
19,Extra waste,v4etaf__,stl___in,float,False,0,,
20,Extra waste next forms,v4etaf__,stl__in2,float,False,0,,
21,Lilo waste,v4etaf__,lilo__in,float,False,0,,
22,Lilo waste next forms,v4etaf__,lilo_in2,float,False,0,,
23,,v4etaf__,stl_p_in,float,False,0,,
24,,v4etaf__,stl_pmin,float,False,0,,
25,Max. print speed,v4etaf__,mxspdd__,float,False,0,,
26,Max. print speed (Slagen/uur),v4etaf__,mxspdd_s,float,False,0,,
27,Vertraging druksnelheid (m/min),v4etaf__,invlspd_,float,False,0,,
28,Vertraging druksnelheid (Slagen/uur),v4etaf__,invlspds,float,False,0,,
29,No. around,v4etaf__,aantal_h,integer,False,0,,
30,No. across,v4etaf__,aantal_b,integer,False,0,,
31,,v4etaf__,prys___m,float,False,0,,
32,Form cost,v4etaf__,prysvorm,float,False,0,,
33,Material description,v4etaf__,grd__oms,nchar,False,30,,
34,,v4etaf__,grd__peh,float,False,0,,
35,Utilisation %,v4etaf__,grd__prc,float,False,0,,
36,,v4etaf__,stns_ref,nchar,False,10,,
37,Wage cost (Normal),v4etaf__,lonen___,float,False,0,,
38,Machine cost (Normal),v4etaf__,machi___,float,False,0,,
39,Overheads (Normal),v4etaf__,overh___,float,False,0,,
40,Material cost (Normal),v4etaf__,grdvb___,float,False,0,,
41,Costs Outside Services (Normal),v4etaf__,oa______,float,False,0,,
42,Toeslag grondstof (Normal),v4etaf__,grdvb_t_,float,False,0,,
43,Toeslag lonen (Normal),v4etaf__,lonen_t_,float,False,0,,
44,Surcharge machines (Normal),v4etaf__,machi_t_,float,False,0,,
45,Surcharge overheads (Normal),v4etaf__,overh_t_,float,False,0,,
46,Surcharge Outside Services (Normal),v4etaf__,oa____t_,float,False,0,,
47,Duration (min.) (Normal),v4etaf__,duur____,integer,False,0,,
48,Wage cost (Supplement),v4etaf__,lonen__s,float,False,0,,
49,Machine cost (Supplement),v4etaf__,machi__s,float,False,0,,
50,Overheads (Supplement),v4etaf__,overh__s,float,False,0,,
51,Material cost (Supplement),v4etaf__,grdvb__s,float,False,0,,
52,Costs Outside Services (Supplement),v4etaf__,oa_____s,float,False,0,,
53,Toeslag lonen (Supplement),v4etaf__,lonen_ts,float,False,0,,
54,Surcharge machines (Supplement),v4etaf__,machi_ts,float,False,0,,
55,Surcharge overheads (Supplement),v4etaf__,overh_ts,float,False,0,,
56,Surcharge Outside Services (Supplement),v4etaf__,oa____ts,float,False,0,,
57,Toeslag grondstof (Supplement),v4etaf__,grdvb_ts,float,False,0,,
58,Duration (Supplement) (min.),v4etaf__,duur___s,integer,False,0,,
59,Sequence no.,v4etaf__,volgnr__,nchar,False,3,,
60,,v4etaf__,afw__ing,nchar,False,1,,
61,Image on roll,v4etaf__,bldoprol,nchar,False,1,,
