Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Press sheet ID,v4eti___,kpn__ref,nchar,False,6,,
2,Calculation,v4eti___,off__ref,nchar,False,6,,
3,Product part ID,v4eti___,sub__ref,nchar,False,3,,
4,Print sheet kind,v4eti___,kpn__srt,nchar,False,1,,
5,"0=printsheet, 1=finishing",v4eti___,kpndasrt,nchar,False,1,KpnDrukAfwerk,
6,Linked print sheet,v4eti___,kpnd_ref,nchar,False,6,,
7,Basic / Option / Variant,v4eti___,aard____,nchar,False,1,,
8,Comment,v4eti___,komment_,nchar,False,22,,
9,Basic quantity (in ex.),v4eti___,basisant,integer,False,0,,
10,Quantity per unit (price type of calculation),v4eti___,aanteenh,float,False,0,,
11,Micro-metrical thickness,v4eti___,diktemic,float,False,0,,
12,Number of printing productions,v4eti___,aantprod,integer,False,0,,
13,No. of products,v4eti___,aant_afg,integer,False,0,,
14,Multilayer-1Mat.,v4eti___,multidrk,integer,False,0,MultiDruk,
15,Kind of label,v4eti___,lbl__srt,nchar,False,1,LabelSoort,
16,Label form,v4eti___,eti_vorm,nchar,False,1,StansVorm,
17,Radius,v4eti___,radius__,float,False,0,,
18,Ref. at customer,v4eti___,zynrefkl,nchar,False,10,,
19,Label size across,v4eti___,etiket_b,float,False,0,,
20,Label size around,v4eti___,etiket_h,float,False,0,,
21,Roll width,v4eti___,rol____b,float,False,0,,
22,Lay-flat,v4eti___,lay_flat,float,False,0,,
23,Overlap,v4eti___,overlap_,float,False,0,,
24,Face around,v4eti___,face_h,float,False,0,,
25,Face accross,v4eti___,face_b,float,False,0,,
26,Back offset,v4eti___,backoffset_b,float,False,0,,
27,Type of seal along,v4eti___,sealtype_b,nchar,False,1,TypeLasInDeLengte,
28,Seal along,v4eti___,seal_b,float,False,0,,
29,Type of seal bottom,v4eti___,sealtype_onder,nchar,False,1,TypeLasOnderaan,
30,Seal bottom,v4eti___,seal_h_onder,float,False,0,,
31,Type of gusset,v4eti___,gussettype_b,nchar,False,1,TypeZijkant,
32,Gusset,v4eti___,gusset_b,float,False,0,,
33,Seal side,v4eti___,seal_zijkant,float,False,0,,
34,Bottom,v4eti___,gusset_onder,float,False,0,,
35,Edge trim,v4eti___,edge_trim,float,False,0,,
36,Gap,v4eti___,gap,float,False,0,,
37,Alignation of shapes in a kit,v4eti___,kitalign,nchar,False,1,,
38,Step (width),v4eti___,asaf___b,float,False,0,,
39,Distance between in width,v4eti___,tssnaf_b,float,False,0,,
40,Label gap,v4eti___,tssnaf_h,float,False,0,,
41,Minimal labelgap,v4eti___,lblgp_mn,float,False,0,,
42,Maximal labelgap,v4eti___,lblgp_mx,float,False,0,,
43,No. across,v4eti___,aantal_b,integer,False,0,,
44,No. around,v4eti___,aantal_h,integer,False,0,,
45,Head trim,v4eti___,kopwit__,float,False,0,,
46,Foot trim,v4eti___,voetwit_,float,False,0,,
47,Printing circumference,v4eti___,omtrek__,float,False,0,,
48,Number of labels next to each other in width to deliver to customer,v4eti___,aantallb,integer,False,0,,
49,,v4eti___,rol___lb,float,False,0,,
50,Format lettertext,v4eti___,fmt__txt,nchar,False,100,,
51,Format blocked (unit system),v4eti___,fmt__lck,nchar,False,1,,
52,Size comment,v4eti___,fmt_comm,nchar,False,30,,
53,Die,v4eti___,stns_ref,nchar,False,10,,
54,Possible distance between labels in heigth,v4eti___,tssnafsh,float,False,0,,
55,Bleed (Bleed),v4eti___,lblbleed,float,False,0,,
56,Possible no. around,v4eti___,aantalsh,integer,False,0,,
57,Step or circumference of the die,v4eti___,omtreks_,float,False,0,,
58,Stanssoort (1=vlak 2=rotatie <blanco>=niet stansen),v4eti___,stn__srt,nchar,False,1,StansSoort,
59,Aantal in de breedte (Die),v4eti___,aantalsb,integer,False,0,,
60,Colour code front,v4eti___,klcod_fr,nchar,False,30,,
61,Ink consumption % front,v4eti___,inkvrpfr,integer,False,0,,
62,Adhesive colour code,v4eti___,klcod_lm,nchar,False,30,,
63,Ink consumption % glue,v4eti___,inkvrplm,integer,False,0,,
64,Colour code backing,v4eti___,klcod_rg,nchar,False,30,,
65,Ink consumption % back,v4eti___,inkvrprg,integer,False,0,,
66,Number of times extra costs will be calculated for ink,v4eti___,antexink,integer,False,0,,
67,Number / perforate (Y/N),v4eti___,kpnafw_1,nchar,False,1,,
68,Varnish (Y/N),v4eti___,kpnafw_2,nchar,False,1,,
69,Laminating (Y/N),v4eti___,kpnafw_3,nchar,False,1,,
70,Crease / die (Y/N),v4eti___,kpnafw_4,nchar,False,1,,
71,Other finishing (Y/N),v4eti___,kpnafw_6,nchar,False,1,,
72,Cutting (Y/N),v4eti___,kpnafw_7,nchar,False,1,,
73,Output (Y/N),v4eti___,kpnafw_8,nchar,False,1,,
74,Foil printing (Y/N),v4eti___,kpnafw_9,nchar,False,1,,
75,Calculation of changes,v4eti___,cal_wiss,nchar,False,1,,
76,No. of plate changes,v4eti___,ant__plw,integer,False,0,,
77,No. of colour changes,v4eti___,ant__klw,integer,False,0,,
78,No. of plates,v4eti___,ant_pltn,integer,False,0,,
79,No. of plate changes: srt_inkt = 0,v4eti___,antplw_0,integer,False,0,,
80,No. of plate changes: color offset,v4eti___,antplw_1,integer,False,0,,
81,No. of plate changes: color UV,v4eti___,antplw_2,integer,False,0,,
82,No. of plate changes: color flexo,v4eti___,antplw_3,integer,False,0,,
83,No. of plate changes: color UV flexo,v4eti___,antplw_4,integer,False,0,,
84,No. of plate changes: color typo,v4eti___,antplw_5,integer,False,0,,
85,No. of plate changes: color zeefdruk,v4eti___,antplw_6,integer,False,0,,
86,No. of plate changes: color diepdruk,v4eti___,antplw_7,integer,False,0,,
87,No. of colour changes: color onbepaald,v4eti___,antklw_0,integer,False,0,,
88,No. of colour changes: color offset,v4eti___,antklw_1,integer,False,0,,
89,No. of colour changes: color UV,v4eti___,antklw_2,integer,False,0,,
90,No. of colour changes: color flexo,v4eti___,antklw_3,integer,False,0,,
91,No. of colour changes: color UV flexo,v4eti___,antklw_4,integer,False,0,,
92,No. of colour changes: color typo,v4eti___,antklw_5,integer,False,0,,
93,No. of colour changes: color zeefdruk,v4eti___,antklw_6,integer,False,0,,
94,No. of colour changes: color diepdruk,v4eti___,antklw_7,integer,False,0,,
95,No. of plates: color onbepaald,v4eti___,antplt_0,integer,False,0,,
96,No. of plates: color offset,v4eti___,antplt_1,integer,False,0,,
97,No. of plates: color UV,v4eti___,antplt_2,integer,False,0,,
98,No. of plates: color flexo,v4eti___,antplt_3,integer,False,0,,
99,No. of plates: color UV flexo,v4eti___,antplt_4,integer,False,0,,
100,No. of plates: color typo,v4eti___,antplt_5,integer,False,0,,
101,No. of plates: color zeefdruk,v4eti___,antplt_6,integer,False,0,,
102,No. of plates: color diepdruk,v4eti___,antplt_7,integer,False,0,,
103,Number of plates to be invoiced per kind of ink,v4eti___,plttfak0,integer,False,0,,
104,Number of plates to be invoiced per kind of ink,v4eti___,plttfak1,integer,False,0,,
105,Number of plates to be invoiced per kind of ink,v4eti___,plttfak2,integer,False,0,,
106,Number of plates to be invoiced per kind of ink,v4eti___,plttfak3,integer,False,0,,
107,Number of plates to be invoiced per kind of ink,v4eti___,plttfak4,integer,False,0,,
108,Number of plates to be invoiced per kind of ink,v4eti___,plttfak5,integer,False,0,,
109,Number of plates to be invoiced per kind of ink,v4eti___,plttfak6,integer,False,0,,
110,Number of plates to be invoiced per kind of ink,v4eti___,plttfak7,integer,False,0,,
111,Price per plate perkind of ink in foreign currency,v4eti___,plt0__vm,float,False,0,,
112,Price per plate perkind of ink in foreign currency,v4eti___,plt1__vm,float,False,0,,
113,Price per plate perkind of ink in foreign currency,v4eti___,plt2__vm,float,False,0,,
114,Price per plate perkind of ink in foreign currency,v4eti___,plt3__vm,float,False,0,,
115,Price per plate perkind of ink in foreign currency,v4eti___,plt4__vm,float,False,0,,
116,Price per plate perkind of ink in foreign currency,v4eti___,plt5__vm,float,False,0,,
117,Price per plate perkind of ink in foreign currency,v4eti___,plt6__vm,float,False,0,,
118,Price per plate perkind of ink in foreign currency,v4eti___,plt7__vm,float,False,0,,
119,Price per plate per kind of ink in accounting currency,v4eti___,plt0__bm,float,False,0,,
120,Price per plate per kind of ink in accounting currency,v4eti___,plt1__bm,float,False,0,,
121,Price per plate per kind of ink in accounting currency,v4eti___,plt2__bm,float,False,0,,
122,Price per plate per kind of ink in accounting currency,v4eti___,plt3__bm,float,False,0,,
123,Price per plate per kind of ink in accounting currency,v4eti___,plt4__bm,float,False,0,,
124,Price per plate per kind of ink in accounting currency,v4eti___,plt5__bm,float,False,0,,
125,Price per plate per kind of ink in accounting currency,v4eti___,plt6__bm,float,False,0,,
126,Price per plate per kind of ink in accounting currency,v4eti___,plt7__bm,float,False,0,,
127,Number of plates per productchange per kind of ink,v4eti___,antplwa0,float,False,0,,
128,Number of plates per productchange per kind of ink,v4eti___,antplwa1,float,False,0,,
129,Number of plates per productchange per kind of ink,v4eti___,antplwa2,float,False,0,,
130,Number of plates per productchange per kind of ink,v4eti___,antplwa3,float,False,0,,
131,Number of plates per productchange per kind of ink,v4eti___,antplwa4,float,False,0,,
132,Number of plates per productchange per kind of ink,v4eti___,antplwa5,float,False,0,,
133,Number of plates per productchange per kind of ink,v4eti___,antplwa6,float,False,0,,
134,Number of plates per productchange per kind of ink,v4eti___,antplwa7,float,False,0,,
135,Number of colours per productchange per kind of ink,v4eti___,antklwa0,float,False,0,,
136,Number of colours per productchange per kind of ink,v4eti___,antklwa1,float,False,0,,
137,Number of colours per productchange per kind of ink,v4eti___,antklwa2,float,False,0,,
138,Number of colours per productchange per kind of ink,v4eti___,antklwa3,float,False,0,,
139,Number of colours per productchange per kind of ink,v4eti___,antklwa4,float,False,0,,
140,Number of colours per productchange per kind of ink,v4eti___,antklwa5,float,False,0,,
141,Number of colours per productchange per kind of ink,v4eti___,antklwa6,float,False,0,,
142,Number of colours per productchange per kind of ink,v4eti___,antklwa7,float,False,0,,
143,Sales prices excluding or including plates 1=excl. 2=incl.,v4eti___,plt__vkp,nchar,False,1,,
144,Press ID,v4eti___,prs__ref,nchar,False,4,,
145,Print cylinder,v4eti___,trm__ref,nchar,False,3,,
146,Left margin,v4eti___,marge__l,float,False,0,,
147,Right margin,v4eti___,marge__r,float,False,0,,
148,Left marging lane when multi printing,v4eti___,margebnl,float,False,0,,
149,Right margin lane when multi printing,v4eti___,margebnr,float,False,0,,
150,Speed press computer,v4eti___,spd_____,integer,False,0,,
151,Speed press user,v4eti___,spdusr__,integer,False,0,,
152,Speed press computer,v4eti___,spdd____,float,False,0,,
153,Speed press user,v4eti___,spddusr_,float,False,0,,
154,Speed revs/hour computer,v4eti___,spdd_slg,float,False,0,,
155,Speed revs/hour user,v4eti___,spdduslg,float,False,0,,
156,Full speed after amount of meters,v4eti___,ovt_na_m,integer,False,0,,
157,Full speed after amount of revs,v4eti___,ovt_nasl,integer,False,0,,
158,Make-ready time calculated by computer,v4eti___,stl____t,nchar,False,6,,
159,Make-ready time changed by user,v4eti___,stlusr_t,nchar,False,6,,
160,Washing time,v4eti___,wasusr_t,nchar,False,6,,
161,No. of extra runs,v4eti___,ext___dg,integer,False,0,,
162,,v4eti___,stlafu_t,nchar,False,6,,
163,Additional waste / product change,v4eti___,stlafuin,float,False,0,,
164,Minimal width,v4eti___,min____b,float,False,0,,
165,Minimal width (ultimate minimum),v4eti___,minimumb,float,False,0,,
166,Setup time,v4eti___,stel_tyd,nchar,False,6,,
167,Printing time,v4eti___,druk_tyd,nchar,False,6,,
168,Fixed printing time,v4eti___,druk1tyd,nchar,False,6,,
169,Printing time (Supplement),v4eti___,druk2tyd,nchar,False,6,,
170,Washing time,v4eti___,was__tyd,nchar,False,6,,
171,Waste printing fixed user,v4eti___,drkinsvu,integer,False,0,,
172,Waste printing fixed original,v4eti___,drkinsvo,integer,False,0,,
173,Inschiet afwerking vast (User),v4eti___,afwinsvu,integer,False,0,,
174,Inschiet afwerking vast (origineel),v4eti___,afwinsvo,integer,False,0,,
175,Waste by sequential finishing sheets,v4eti___,vlginsto,integer,False,0,,
176,No. of meters to print,v4eti___,tedrk___,integer,False,0,,
177,No. of meters to print + waste,v4eti___,tedrk_to,integer,False,0,,
178,No. of meters to print,v4eti___,tedrkd__,float,False,0,,
179,No. of meters to print + waste,v4eti___,tedrkdto,float,False,0,,
180,Percentual waste press original,v4eti___,prcinsvo,float,False,0,,
181,Percentual waste press user,v4eti___,prcinsvu,float,False,0,,
182,Inline waste original,v4eti___,inlinsvo,float,False,0,,
183,Inline waste from user,v4eti___,inlinsvu,float,False,0,,
184,Offline waste original,v4eti___,oflinsvo,float,False,0,,
185,Offline waste from user,v4eti___,oflinsvu,float,False,0,,
186,Percentual offline waste user,v4eti___,proinsvu,float,False,0,,
187,Percentual surcharge paper original,v4eti___,prcpapto,float,False,0,,
188,Percentual surcharge paper user,v4eti___,prcpaptu,float,False,0,,
189,Material type,v4eti___,pap__srt,nchar,False,1,,
190,Paper type (Other web substrate),v4eti___,pap__ref,nchar,False,4,,
191,Paper colour,v4eti___,klr__ref,nchar,False,3,,
192,Grammage,v4eti___,grammage,nchar,False,4,,
193,Grammage,v4eti___,gramm___,float,False,0,,
194,Width,v4eti___,breedte_,float,False,0,,
195,Material ID,v4eti___,art__ref,nchar,False,15,,
196,Vrije omschrijving (kwaliteit),v4eti___,art_oms2,nchar,False,100,,
197,Destination,v4eti___,bestemm_,nchar,False,45,,
198,Substrate ID,v4eti___,drg__ref,nchar,False,6,,
199,Only paper on this substrate obligated,v4eti___,drg_vrpl,nchar,False,1,,
200,Paper approval,v4eti___,art__tst,nchar,False,1,,
201,Paper comment,v4eti___,pap__kom,nchar,False,28,,
202,Paperprice for waste,v4eti___,papprins,nchar,False,1,,
203,Price type,v4eti___,prys_typ,nchar,False,1,Prijstypeslabel,
204,Price per m2,v4eti___,prys_peh,float,False,0,,
205,Price per kg,v4eti___,prys__kg,float,False,0,,
206,gew = gew (1stuk) * basisant in kg (without waste,v4eti___,gewicht_,float,False,0,,
207,Weight/ pce from the user,v4eti___,gewstusr,float,False,0,,
208,Amount of sheets in kg,v4eti___,hv_vr_kg,float,False,0,,
209,Left side margin: indien persformaat te groot is,v4eti___,zijwit_l,float,False,0,,
210,Right side margin: indien persformaat te groot is,v4eti___,zijwit_r,float,False,0,,
211,Type of ordering,v4eti___,bst__typ,nchar,False,1,,
212,Charge loss label width to customer,v4eti___,bst2_typ,nchar,False,1,,
213,Charge loss min. surface to customer,v4eti___,bst3_typ,nchar,False,1,,
214,Width of the roll to be ordered,v4eti___,bst__bre,float,False,0,,
215,Length of the roll to be ordered,v4eti___,bst__len,float,False,0,,
216,Mimimum m² to be ordered,v4eti___,bstminm2,float,False,0,,
217,Number of rolls to order,v4eti___,bst__rol,float,False,0,,
218,m2 to be ordered,v4eti___,bst___m2,float,False,0,,
219,Kg to be ordered,v4eti___,bst___kg,float,False,0,,
220,Servicename of the pallist,v4eti___,bst_serv,nchar,False,25,,
221,Meters to be ordered,v4eti___,bst____m,float,False,0,,
222,Minimum m to be ordered,v4eti___,bstmin_m,float,False,0,,
223,Material requirement in meter,v4eti___,vrbpap__,float,False,0,,
224,Material requirement in m2,v4eti___,vrbpapm2,float,False,0,,
225,Material requirement in kg,v4eti___,vrbpapkg,float,False,0,,
226,Waste due to roll width (length),v4eti___,vlsrb__l,float,False,0,,
227,Waste due to roll width (Width),v4eti___,vlsrb__b,float,False,0,,
228,Verlies door rolbreedte in te geven (opp),v4eti___,vlsrb_m2,float,False,0,,
229,Verlies door rolbreedte in te geven (gewicht),v4eti___,vlsrb_kg,float,False,0,,
230,Verlies door rollengte in te geven (lengte),v4eti___,vlsrl__l,float,False,0,,
231,Verlies door rollengte in te geven (Width),v4eti___,vlsrl__b,float,False,0,,
232,Verlies door rollengte in te geven (opp),v4eti___,vlsrl_m2,float,False,0,,
233,Verlies door rollengte in te geven (gewicht),v4eti___,vlsrl_kg,float,False,0,,
234,,v4eti___,vlsmn__l,float,False,0,,
235,,v4eti___,vlsmn__b,float,False,0,,
236,,v4eti___,vlsmn_m2,float,False,0,,
237,,v4eti___,vlsmn_kg,float,False,0,,
238,Printing make ready done (Y/N),v4eti___,drk__ing,nchar,False,1,,
239,Min. diameter,v4eti___,diamt_mn,float,False,0,,
240,Max. diameter,v4eti___,diamt_mx,float,False,0,,
241,Quantity/roll,v4eti___,aant_rol,float,False,0,,
242,Core,v4eti___,kern____,float,False,0,,
243,Niet meer in gebruik,v4eti___,voorrang,nchar,False,1,VoorrangVerpakking,
244,Box type,v4eti___,srt_doos,nchar,False,30,,
245,Quantity by box,v4eti___,aantdoos,float,False,0,,
246,Position of rolls in box,v4eti___,ligging_,nchar,False,30,,
247,Winding (1-8),v4eti___,wikk____,nchar,False,3,,
248,Image on roll,v4eti___,bldoprol,nchar,False,1,,
249,Packing procedure ID,v4eti___,vpak_ref,nchar,False,3,,
250,Leftside lines production,v4eti___,txt__ref,nchar,False,6,,
251,In the letter (Y/N),v4eti___,in_brief,nchar,False,1,,
252,Create reservations?,v4eti___,tresv___,nchar,False,1,,
253,Date expected consumption,v4eti___,dat__res,date,False,0,,
254,Process ID,v4eti___,jobnr_vw,nchar,False,10,,
255,Sales price,v4eti___,vkp_____,float,False,0,,
256,+ 1000,v4eti___,suppl___,float,False,0,,
257,For films,v4eti___,flm__peh,float,False,0,,
258,For plates,v4eti___,plt__peh,float,False,0,,
259,For rotation dies,v4eti___,rostnpeh,float,False,0,,
260,For flat dies,v4eti___,vlstnpeh,float,False,0,,
261,Folding scheme,v4eti___,vwm__ref,nchar,False,6,,
262,Page size X-axis,v4eti___,fmtpag_x,float,False,0,,
263,Page size Y-axis,v4eti___,fmtpag_y,float,False,0,,
264,Backing,v4eti___,rug_____,float,False,0,,
265,Flap in the front,v4eti___,flap___v,float,False,0,,
266,Flap in the back,v4eti___,flap___a,float,False,0,,
267,Flap (Front),v4eti___,flap___b,float,False,0,,
268,Flap (Back),v4eti___,flap___o,float,False,0,,
269,Loss scheme,v4eti___,vls__ref,nchar,False,6,,
270,Losses X-axis,v4eti___,verliesx,nchar,False,-1,,
271,Losses Y-axis,v4eti___,verliesy,nchar,False,-1,,
272,Discount,v4eti___,drg_kort,float,False,0,,
273,Job template,v4eti___,tpl__ref,nchar,False,6,,
274,Mark,v4eti___,mark_ref,nchar,False,6,,
275,Color Strategy,v4eti___,stgy_ref,nchar,False,6,,
