Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Table name - Program,links___,tabname_,nchar,False,100,,
2,"0=via links scherm,1=extra grote knop",links___,start_up,nchar,False,1,,
3,Link ID,links___,tab__ref,nchar,False,30,,
4,Path,links___,path____,nchar,False,250,,
5,File name,links___,filename,nchar,False,100,,
6,Description,links___,omschr__,nchar,False,100,,
7,Parameter (indien exe),links___,params__,nchar,False,100,,
8,Date,links___,datum___,date,False,0,,
9,User,links___,usernbr_,nchar,False,6,,
10,Blocked profiles,links___,pfl__ref,nchar,False,-1,,
11,Type,links___,type____,nchar,False,1,,
