Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,,hisglv__,his__vnr,integer,False,0,,
2,Delivery sequence no.,hisglv__,levr_vnr,nchar,False,6,,
3,,hisglv__,levr_typ,nchar,False,1,,
4,Process ID,hisglv__,jobnr_vw,nchar,False,10,,
5,Date,hisglv__,datum___,date,False,0,,
6,,hisglv__,uur_____,nchar,False,6,,
7,User,hisglv__,user____,nchar,False,30,,
8,Order ID,hisglv__,grbonref,nchar,False,6,,
9,Order line item ID (Materials),hisglv__,grs__vnr,nchar,False,6,,
10,Material ID,hisglv__,art__ref,nchar,False,15,,
11,Supplier ID,hisglv__,lev__ref,nchar,False,6,,
12,Delivery date,hisglv__,levr_dat,date,False,0,,
13,Delivery time,hisglv__,levr_uur,nchar,False,6,,
14,,hisglv__,levrodat,date,False,0,,
15,,hisglv__,levrouur,nchar,False,6,,
16,,hisglv__,jobnr2vw,nchar,False,10,,
17,Complete delivery (Y/N),hisglv__,volledig,nchar,False,1,,
18,,hisglv__,aantal__,float,False,0,,
19,,hisglv__,jobnrlev,nchar,False,40,,
20,Comment ID,hisglv__,kom__ref,nchar,False,3,,
21,Relative Humidity,hisglv__,vochtpct,float,False,0,,
22,Stock location ID,hisglv__,vak__ref,nchar,False,10,,
23,Stock location ID,hisglv__,vak2_ref,nchar,False,10,,
24,Stock location,hisglv__,lokatie_,nchar,False,20,,
25,,hisglv__,fac__tst,nchar,False,1,,
26,Date invoice,hisglv__,fac__dat,date,False,0,,
27,Totale geleverde waarde (boekhoudmunt),hisglv__,teofk_bm,float,False,0,,
28,Location,hisglv__,import_location,nchar,False,50,,
29,Authorization number,hisglv__,import_permit_number,nchar,False,30,,
