Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Purchase invoice no.,hakpfk__,akp__ref,nchar,False,11,,
2,IBAN account,hakpfk__,ba_iban_,nchar,False,34,,
3,BIC/SWIFT code,hakpfk__,ba_bic__,nchar,False,11,,
4,Journal ID,hakpfk__,dgbk_ref,nchar,False,3,,
5,Financial year ID,hakpfk__,bkj__ref,nchar,False,4,,
6,Invoice ID,hakpfk__,fak__ref,nchar,False,6,,
7,Document type,hakpfk__,dok__srt,nchar,False,1,FactSoort,
8,Site ID,hakpfk__,dossier_,nchar,False,2,,
9,Supplier document no.,hakpfk__,doknrlev,nchar,False,29,,
10,Other software ID,hakpfk__,cde___ap,nchar,False,30,,
11,User,hakpfk__,user____,nchar,False,30,,
12,Process (Y/N),hakpfk__,verwerk_,nchar,False,1,,
13,Process ID,hakpfk__,jobnr_vw,nchar,False,10,,
14,Import Job ID,hakpfk__,job__inl,nchar,False,10,,
15,User latest modif.,hakpfk__,user_wij,nchar,False,30,,
16,Latest change date,hakpfk__,dat__wij,date,False,0,,
17,Supplier ID,hakpfk__,lev__ref,nchar,False,6,,
18,Supplier keyword,hakpfk__,lev__rpn,nchar,False,10,,
19,Period,hakpfk__,peri_ref,nchar,False,2,,
20,Input date,hakpfk__,ing__dat,date,False,0,,
21,Date of entry,hakpfk__,ins__dat,date,False,0,,
22,Document date,hakpfk__,dok__dat,date,False,0,,
23,Due date,hakpfk__,verv_dat,date,False,0,,
24,Currency ID,hakpfk__,munt_ref,nchar,False,3,,
25,No. of decimal places,hakpfk__,aant_dec,integer,False,0,,
26,Exchange rate,hakpfk__,koers___,float,False,0,,
27,VAT administration,hakpfk__,btw_beh_,nchar,False,1,,
28,Comment,hakpfk__,dok__com,nchar,False,40,,
29,Structured comment,hakpfk__,kom__ref,nchar,False,3,,
30,Taxable (for.cur.),hakpfk__,belastvm,float,False,0,,
31,Taxable,hakpfk__,belastbm,float,False,0,,
32,Total VAT,hakpfk__,btw___bm,float,False,0,,
33,BTW totaal (for.cur.),hakpfk__,btw___vm,float,False,0,,
34,Deductible VAT (for.cur.),hakpfk__,btwa__vm,float,False,0,,
35,Deductible VAT,hakpfk__,btwa__bm,float,False,0,,
36,Non deductible VAT (for.cur.),hakpfk__,btwna_vm,float,False,0,,
37,Non deductible VAT,hakpfk__,btwna_bm,float,False,0,,
38,Various (for.cur.),hakpfk__,diversvm,float,False,0,,
39,Various,hakpfk__,diversbm,float,False,0,,
40,Invoice amount total (for.cur.),hakpfk__,totaalvm,float,False,0,,
41,Invoice amount total,hakpfk__,totaalbm,float,False,0,,
42,Term of payment ID,hakpfk__,betk_ref,nchar,False,4,,
43,VAT percentage VAT code 0,hakpfk__,btw_pct0,float,False,0,,
44,VAT percentage VAT code 1,hakpfk__,btw_pct1,float,False,0,,
45,VAT percentage VAT code 2,hakpfk__,btw_pct2,float,False,0,,
46,VAT percentage VAT code 3,hakpfk__,btw_pct3,float,False,0,,
47,VAT percentage VAT code 4,hakpfk__,btw_pct4,float,False,0,,
48,VAT percentage VAT code 5,hakpfk__,btw_pct5,float,False,0,,
49,Manner of payment ID,hakpfk__,betw_ref,nchar,False,2,,
50,Country (Payment),hakpfk__,ba_landr,nchar,False,1,,
51,Bank account,hakpfk__,ba_bankr,nchar,False,40,,
52,Name (Payment),hakpfk__,ba_naam_,nchar,False,40,,
53,Street (Payment),hakpfk__,ba_straa,nchar,False,40,,
54,District (Payment),hakpfk__,ba_wijk_,nchar,False,40,,
55,Country (Payment),hakpfk__,ba_land_,nchar,False,3,,
56,Postal code (Payment),hakpfk__,ba_postr,nchar,False,40,,
57,City (Payment),hakpfk__,ba_postn,nchar,False,40,,
58,County (Payment),hakpfk__,ba_count,nchar,False,40,,
59,State (Payment),hakpfk__,ba_state,nchar,False,40,,
60,Comment (Payment),hakpfk__,ba_meded,nchar,False,40,,
61,Lock for payment,hakpfk__,blokkeer,nchar,False,1,,
62,Blocking comment,hakpfk__,ba_blcom,nchar,False,40,,
63,Responsible blocking,hakpfk__,ba_blusr,nchar,False,30,,
64,Status (01),hakpfk__,tstval01,nchar,False,4,,
65,Status (02),hakpfk__,tstval02,nchar,False,4,,
66,Status (03),hakpfk__,tstval03,nchar,False,4,,
67,Status (04),hakpfk__,tstval04,nchar,False,4,,
68,Status (05),hakpfk__,tstval05,nchar,False,4,,
69,Status (06),hakpfk__,tstval06,nchar,False,4,,
70,Status (07),hakpfk__,tstval07,nchar,False,4,,
71,Status (08),hakpfk__,tstval08,nchar,False,4,,
72,Status (09),hakpfk__,tstval09,nchar,False,4,,
73,Status (10),hakpfk__,tstval10,nchar,False,4,,
