Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Purchase invoice no.,wakpfl__,akp__ref,nchar,False,11,,
2,Journal ID,wakpfl__,dgbk_ref,nchar,False,3,,
3,Financial year ID,wakpfl__,bkj__ref,nchar,False,4,,
4,Invoice ID,wakpfl__,fak__ref,nchar,False,6,,
5,Invoice line item ID,wakpfl__,fakl_ref,nchar,False,10,,
6,Type of purchase order,wakpfl__,type____,nchar,False,1,TypeAankoopFactuurlijn,
7,Order ID,wakpfl__,bon__ref,nchar,False,6,,
8,Lijnnummer (Optioneel),wakpfl__,lyn__ref,nchar,False,10,,
9,Leveringsnummer (Optioneel),wakpfl__,levr_ref,nchar,False,6,,
10,Expected credit note,wakpfl__,toc__ref,nchar,False,6,,
11,Job ID (voor vergrendelen),wakpfl__,ord__ref,nchar,False,6,,
12,Invoiced quantity,wakpfl__,faant___,float,False,0,,
13,gefactureerd aantal (Unit 2),wakpfl__,faant__2,float,False,0,,
14,Complete,wakpfl__,volledig,nchar,False,1,,
15,Currency ID,wakpfl__,munt_ref,nchar,False,3,,
16,No. of decimal places,wakpfl__,aant_dec,integer,False,0,,
17,Exchange rate,wakpfl__,koers___,float,False,0,,
18,Total (for.cur.),wakpfl__,tot___vm,float,False,0,,
19,Total,wakpfl__,tot___bm,float,False,0,,
20,Price (Unit 1) (for.cur.),wakpfl__,fpry1_vm,float,False,0,,
21,Price (Unit 1),wakpfl__,fpry1_bm,float,False,0,,
22,Price (Unit 2) (for.cur.),wakpfl__,fpry2_vm,float,False,0,,
23,Price (Unit 2),wakpfl__,fpry2_bm,float,False,0,,
24,Structured comment,wakpfl__,kom__ref,nchar,False,6,,
25,Comment,wakpfl__,komment_,nchar,False,30,,
26,Job costing comment,wakpfl__,nakkom_1,nchar,False,40,,
27,Job costing comment,wakpfl__,nakkom_2,nchar,False,40,,
28,Cost category (indien vrije orderkost),wakpfl__,rbk__ref,nchar,False,6,,
29,Productive (indien vrije orderkost),wakpfl__,produktf,nchar,False,1,Productief,
