Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Purchase invoice no.,hakpfl__,akp__ref,nchar,False,11,,
2,Journal ID,hakpfl__,dgbk_ref,nchar,False,3,,
3,Financial year ID,hakpfl__,bkj__ref,nchar,False,4,,
4,Invoice ID,hakpfl__,fak__ref,nchar,False,6,,
5,Invoice line item ID,hakpfl__,fakl_ref,nchar,False,10,,
6,Type of purchase order,hakpfl__,type____,nchar,False,1,TypeAankoopFactuurlijn,
7,Order ID,hakpfl__,bon__ref,nchar,False,6,,
8,Lijnnummer (Optioneel),hakpfl__,lyn__ref,nchar,False,10,,
9,Leveringsnummer (Optioneel),hakpfl__,levr_ref,nchar,False,6,,
10,Expected credit note,hakpfl__,toc__ref,nchar,False,6,,
11,Job ID (voor vergrendelen),hakpfl__,ord__ref,nchar,False,6,,
12,Invoiced quantity,hakpfl__,faant___,float,False,0,,
13,gefactureerd aantal (Unit 2),hakpfl__,faant__2,float,False,0,,
14,Complete,hakpfl__,volledig,nchar,False,1,,
15,Currency ID,hakpfl__,munt_ref,nchar,False,3,,
16,No. of decimal places,hakpfl__,aant_dec,integer,False,0,,
17,Exchange rate,hakpfl__,koers___,float,False,0,,
18,Total (for.cur.),hakpfl__,tot___vm,float,False,0,,
19,Total,hakpfl__,tot___bm,float,False,0,,
20,Price (Unit 1) (for.cur.),hakpfl__,fpry1_vm,float,False,0,,
21,Price (Unit 1),hakpfl__,fpry1_bm,float,False,0,,
22,Price (Unit 2) (for.cur.),hakpfl__,fpry2_vm,float,False,0,,
23,Price (Unit 2),hakpfl__,fpry2_bm,float,False,0,,
24,Structured comment,hakpfl__,kom__ref,nchar,False,6,,
25,Comment,hakpfl__,komment_,nchar,False,30,,
26,Job costing comment,hakpfl__,nakkom_1,nchar,False,40,,
27,Job costing comment,hakpfl__,nakkom_2,nchar,False,40,,
28,Cost category (indien vrije orderkost),hakpfl__,rbk__ref,nchar,False,6,,
29,Productive (indien vrije orderkost),hakpfl__,produktf,nchar,False,1,Productief,
