Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Order ID,grsbon__,grbonref,nchar,False,6,,
2,Order line item ID (Materials),grsbon__,grs__vnr,nchar,False,6,,
3,Status (1/2/3),grsbon__,compl___,nchar,False,1,,
4,Delivery status,grsbon__,lev__tst,nchar,False,1,,
5,Status (Invoicing),grsbon__,fac__tst,nchar,False,1,,
6,Job ID,grsbon__,ord__ref,nchar,False,6,,
7,Job part ID,grsbon__,suborder,nchar,False,3,,
8,Work description (01),grsbon__,grs__com,nchar,False,-1,,
9,Work description (02),grsbon__,grs_com2,nchar,False,40,,
10,Material ID,grsbon__,art__ref,nchar,False,15,,
11,Vrije omschrijving (kwaliteit),grsbon__,art_oms2,nchar,False,100,,
12,Ref. at supplier,grsbon__,zyn__ref,nchar,False,50,,
13,Material type,grsbon__,art__srt,nchar,False,1,SoortGrondstof,
14,Type artikel (vel/kg),grsbon__,art__typ,nchar,False,1,TypeGrondstofAankoop,
15,Supplier ID,grsbon__,lev__ref,nchar,False,6,,
16,Supplier keyword,grsbon__,lev__rpn,nchar,False,10,,
17,Desired delivery date,grsbon__,glev_dat,date,False,0,,
18,Desired delivery time,grsbon__,glev_uur,nchar,False,6,,
19,Original requested delivery date,grsbon__,glevodat,date,False,0,,
20,Original requested delivery time,grsbon__,glevouur,nchar,False,6,,
21,Actual delivery date,grsbon__,levr_dat,date,False,0,,
22,Actual delivery time,grsbon__,levr_uur,nchar,False,6,,
23,Required shipment date,grsbon__,gvrz_dat,date,False,0,,
24,Desired shipment time,grsbon__,gvrz_uur,nchar,False,6,,
25,Original requested shipment date,grsbon__,gvrzodat,date,False,0,,
26,Original requested shipment time,grsbon__,gvrzouur,nchar,False,6,,
27,Real shipment date,grsbon__,vrz__dat,date,False,0,,
28,Real shipment time,grsbon__,vrz__uur,nchar,False,6,,
29,Electronic order,grsbon__,elecbest,nchar,False,1,ElectronischBestellen,
30,Transport zone ID,grsbon__,trn__ref,nchar,False,3,,
31,Transport rate ID,grsbon__,trnt_ref,nchar,False,3,,
32,Analytical level 1,grsbon__,aniv1ref,nchar,False,10,,
33,Analytical level 2,grsbon__,aniv2ref,nchar,False,10,,
34,Analytical level 3,grsbon__,aniv3ref,nchar,False,10,,
35,Confirmation supplier,grsbon__,fiat__ok,nchar,False,1,StatusBestelRegel,
36,Confirmation supplier date,grsbon__,fiat_dat,date,False,0,,
37,Confirmation supplier time,grsbon__,fiat_uur,nchar,False,6,,
38,Confirmation supplier by whom,grsbon__,fiat_usr,nchar,False,25,,
39,Confirmation supplier comment,grsbon__,fiat_com,nchar,False,40,,
40,Confirmation nr.,grsbon__,fiat_num,nchar,False,50,,
41,Status (01),grsbon__,tstval01,nchar,False,4,,
42,Status (02),grsbon__,tstval02,nchar,False,4,,
43,Status (03),grsbon__,tstval03,nchar,False,4,,
44,Status (04),grsbon__,tstval04,nchar,False,4,,
45,Status (05),grsbon__,tstval05,nchar,False,4,,
46,Status (06),grsbon__,tstval06,nchar,False,4,,
47,Status (07),grsbon__,tstval07,nchar,False,4,,
48,Status (08),grsbon__,tstval08,nchar,False,4,,
49,Status (09),grsbon__,tstval09,nchar,False,4,,
50,Status (10),grsbon__,tstval10,nchar,False,4,,
51,Status (11),grsbon__,tstval11,nchar,False,4,,
52,Status (12),grsbon__,tstval12,nchar,False,4,,
53,Status (13),grsbon__,tstval13,nchar,False,4,,
54,Status (14),grsbon__,tstval14,nchar,False,4,,
55,Status (15),grsbon__,tstval15,nchar,False,4,,
56,Status (16),grsbon__,tstval16,nchar,False,4,,
57,Status (17),grsbon__,tstval17,nchar,False,4,,
58,Status (18),grsbon__,tstval18,nchar,False,4,,
59,Status (19),grsbon__,tstval19,nchar,False,4,,
60,Status (20),grsbon__,tstval20,nchar,False,4,,
61,Ordered quantity,grsbon__,gaant___,float,False,0,,
62,Ordered quantity (kg voor papier),grsbon__,gaant_kg,float,False,0,,
63,Delivered quantity,grsbon__,laant___,float,False,0,,
64,Delivered quantity (kg voor papier),grsbon__,laant_kg,float,False,0,,
65,Invoiced quantity,grsbon__,faant___,float,False,0,,
66,Invoiced quantity (Unit 2),grsbon__,faant_kg,float,False,0,,
67,Description of packed unit,grsbon__,pak__oms,nchar,False,12,,
68,Content of a pack,grsbon__,pak__inh,float,False,0,,
69,Currency ID,grsbon__,munt_ref,nchar,False,3,,
70,No. of decimal places,grsbon__,aant_dec,integer,False,0,,
71,Rate of exchange,grsbon__,koers___,float,False,0,,
72,Prijs uit drager voorstellen (bij wijzigen aantal),grsbon__,drg_prys,nchar,False,1,,
73,Ordered price (for.cur.),grsbon__,bpri__vm,float,False,0,,
74,Ordered price,grsbon__,bpri__bm,float,False,0,,
75,(deprecated),grsbon__,bpri__om,float,False,0,,
76,Bestelde prijs vreemde munt (kg),grsbon__,bprik_vm,float,False,0,,
77,Bestelde prijs boekhoudmunt (kg),grsbon__,bprik_bm,float,False,0,,
78,(deprecated),grsbon__,bprik_om,float,False,0,,
79,Gefaktureerde prijs (for.cur.),grsbon__,fpri__vm,float,False,0,,
