Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Representative ID,verte___,vrt__ref,nchar,False,6,,
2,Representative keyword,verte___,vrt__rpn,nchar,False,6,,
3,Name,verte___,naam____,nchar,False,40,,
4,Department,verte___,dienst__,nchar,False,30,,
5,Street,verte___,straat__,nchar,False,30,,
6,District,verte___,wijk____,nchar,False,40,,
7,Country,verte___,land_ref,nchar,False,3,,
8,Postal code,verte___,post_ref,nchar,False,40,,
9,City,verte___,postnaam,nchar,False,40,,
10,County,verte___,county__,nchar,False,40,,
11,State (enkel US),verte___,state___,nchar,False,40,,
12,Phone,verte___,telefoon,nchar,False,40,,
13,Fax,verte___,telefax_,nchar,False,40,,
14,Mobile,verte___,gsm_____,nchar,False,40,,
15,Commission,verte___,kommiss_,float,False,0,,
16,Function,verte___,funktie_,nchar,False,100,,
17,Project manager,verte___,verantw_,nchar,False,25,,
18,E-mail,verte___,email___,nchar,False,100,,
19,Assistant,verte___,assist__,nchar,False,6,,
20,Only follow-up messages/mailings,verte___,enkelopv,nchar,False,1,,
21,Employed,verte___,geblokk_,nchar,False,1,,
22,Google maps from this adress,verte___,mapstart,nchar,False,1,GoogleMapsStart,
