Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Employee ID,w_atl2__,wn___ref,nchar,False,4,,
2,Site ID,w_atl2__,dos__ref,nchar,False,2,,
3,Soort registratie (zie onderaan),w_atl2__,soort___,nchar,False,1,,
4,Date,w_atl2__,datum___,date,False,0,,
5,Start,w_atl2__,starten_,nchar,False,6,,
6,Stop,w_atl2__,stoppen_,nchar,False,6,,
7,Quantity,w_atl2__,aantal__,float,False,0,,
8,Shift system ID,w_atl2__,plg__ref,nchar,False,6,,
9,Cost center ID,w_atl2__,wp___ref,nchar,False,4,,
10,Activity ID,w_atl2__,akt__ref,nchar,False,2,,
11,Answer (01),w_atl2__,antw__01,float,False,0,,
12,Answer (02),w_atl2__,antw__02,float,False,0,,
13,Answer (03),w_atl2__,antw__03,float,False,0,,
14,Answer (04),w_atl2__,antw__04,float,False,0,,
15,Answer (05),w_atl2__,antw__05,float,False,0,,
16,Answer (06),w_atl2__,antw__06,float,False,0,,
17,Answer (07),w_atl2__,antw__07,float,False,0,,
18,Answer (08),w_atl2__,antw__08,float,False,0,,
19,Answer (09),w_atl2__,antw__09,float,False,0,,
20,Answer (10),w_atl2__,antw__10,float,False,0,,
21,Material ID,w_atl2__,art__ref,nchar,False,15,,
22,SKU ID,w_atl2__,artd_ref,nchar,False,6,,
23,Semi-finished goods ID,w_atl2__,hlf__ref,nchar,False,9,,
24,No. of rolls,w_atl2__,rollen__,float,False,0,,
25,Other web substrate (kg),w_atl2__,andro_kg,nchar,False,1,,
26,Ingave papier (kg of meter),w_atl2__,papr_kgm,nchar,False,1,,
27,"1=enkel voorraad verminderen,2=resterende voorraa",w_atl2__,art__vrd,nchar,False,1,,
28,Sales rate ID,w_atl2__,vtrf_ref,nchar,False,4,,
29,Size (01),w_atl2__,formt__1,float,False,0,,
30,Size (02),w_atl2__,formt__2,float,False,0,,
31,Job ID,w_atl2__,ord__ref,nchar,False,6,,
32,Job part ID,w_atl2__,suborder,nchar,False,3,,
33,Press sheet ID,w_atl2__,kpn__ref,nchar,False,6,,
34,Press run ID,w_atl2__,dg___ref,nchar,False,6,,
35,Production flow ID,w_atl2__,production_flow_id,integer,True,0,,
36,Workstep ID,w_atl2__,workstep_id,integer,True,0,,
37,Run ID,w_atl2__,run_id,integer,True,0,,
38,"Productive (0=gewoon,1=herdoen,2=supplement)",w_atl2__,produktf,nchar,False,1,,
39,Versions,w_atl2__,vrs_refs,nchar,False,-1,,
40,Print form ID,w_atl2__,vrm__ref,nchar,False,10,,
41,Comment ID,w_atl2__,kom__ref,nchar,False,3,,
42,Comment,w_atl2__,komment_,nchar,False,-1,,
