Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Employee ID,werknm__,wn___ref,nchar,False,4,,
2,Employee keyword,werknm__,wn___rpn,nchar,False,10,,
3,Name,werknm__,wn_naam_,nchar,False,40,,
4,First name,werknm__,wn_vnaam,nchar,False,15,,
5,Department,werknm__,wn_afdel,nchar,False,40,,
6,Street,werknm__,wn_straa,nchar,False,40,,
7,Country,werknm__,land_ref,nchar,False,3,,
8,Postal code,werknm__,post_ref,nchar,False,40,,
9,City,werknm__,postnaam,nchar,False,40,,
10,District,werknm__,wijk____,nchar,False,40,,
11,County,werknm__,county__,nchar,False,40,,
12,State (enkel US),werknm__,state___,nchar,False,40,,
13,Phone,werknm__,telefoon,nchar,False,40,,
14,Mobile,werknm__,gsm_____,nchar,False,40,,
15,E-mail home,werknm__,emailpwn,nchar,False,100,,
16,Telefoon ICE (in case of emergency),werknm__,tel__ice,nchar,False,40,,
17,Date of birth,werknm__,dat_gebo,date,False,0,,
18,Employed (Y/N),werknm__,indienst,nchar,False,1,,
19,,werknm__,dat_idns,date,False,0,,
20,,werknm__,dat_udns,date,False,0,,
21,Site ID,werknm__,dossier_,nchar,False,2,,
22,Department ID,werknm__,afd__ref,nchar,False,1,,
23,Chief,werknm__,chef____,nchar,False,40,,
24,Function (v5),werknm__,wn_funkt,nchar,False,1,Functie,
25,,werknm__,funktie_,nchar,False,100,,
26,Moet hij pointeren (Y/N),werknm__,wn_point,nchar,False,1,,
27,Mag hij de planning afpunten (Y/N),werknm__,wn_plan_,nchar,False,1,,
28,Feature,werknm__,kenmerk_,nchar,False,20,,
29,,werknm__,wn_loon_,float,False,0,,
30,,werknm__,coeff___,float,False,0,,
31,Salary ID,werknm__,salaris_,nchar,False,4,,
32,,werknm__,ovup_ref,nchar,False,3,,
33,Comment 1,werknm__,wn_komm1,nchar,False,40,,
34,Comment 2,werknm__,wn_komm2,nchar,False,40,,
35,,werknm__,jmf___id,nchar,False,50,,
36,Supervisor,werknm__,supervisor_code,nchar,False,50,,
