Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,SKU ID,artikd__,artd_ref,nchar,False,6,,
2,Material type,artikd__,art__srt,nchar,False,1,SoortGrondstof,
3,Material ID,artikd__,art__ref,nchar,False,15,,
4,Ref. at supplier,artikd__,zyn__ref,nchar,False,25,,
5,In stock,artikd__,in_stock,float,False,0,,
6,Quant. in quarantine,artikd__,in___qrt,float,False,0,,
7,Stock location,artikd__,vak__ref,nchar,False,10,,
8,Cooperate stock location,artikd__,vaks_ref,nchar,False,10,,
9,Neighbouring stock location,artikd__,vak2_ref,nchar,False,10,,
10,Pallet ID,artikd__,pal__ref,nchar,False,25,,
11,Status quarantine,artikd__,tst__qrt,nchar,False,1,QuarantaineToestand,
12,Process ID,artikd__,jobnr_vw,nchar,False,10,,
13,Delivery sequence no.,artikd__,levr_vnr,nchar,False,6,,
14,Delivery date,artikd__,levdat__,date,False,0,,
15,Delivery time,artikd__,levuur__,nchar,False,6,,
16,Original quantity,artikd__,besteld_,float,False,0,,
17,Comment,artikd__,komment_,nchar,False,30,,
18,Comm. quarantine,artikd__,komm_qrt,nchar,False,50,,
19,Batch no. supplier,artikd__,jobnrlev,nchar,False,40,,
20,Scheduling machine,artikd__,plpl_ref,nchar,False,15,,
21,Job ID,artikd__,ord__ref,nchar,False,6,,
22,SKU price,artikd__,nakprijs,float,False,0,,
23,Validity date,artikd__,validdat,date,False,0,,
24,Number of joins,artikd__,joins___,integer,False,0,,
25,Core,artikd__,core____,float,False,0,,
26,Face out / Face in,artikd__,face____,nchar,False,1,,
