Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Process ID,stobew__,jobnr_vw,nchar,False,10,,
2,Kind of movement,stobew__,soort___,nchar,False,1,GrondstofBewegingen,
3,,stobew__,identify,nchar,False,6,,
4,Date,stobew__,datum___,date,False,0,,
5,,stobew__,uur_____,nchar,False,6,,
6,User,stobew__,user____,nchar,False,30,,
7,Material ID,stobew__,art__ref,nchar,False,15,,
8,SKU ID,stobew__,artd_ref,nchar,False,6,,
9,Ref. at supplier (EPSMA),stobew__,zyn__ref,nchar,False,25,,
10,Material type,stobew__,art__srt,nchar,False,1,SoortGrondstof,
11,,stobew__,aantal__,float,False,0,,
12,,stobew__,rollen__,float,False,0,,
13,Comment ID,stobew__,kom__ref,nchar,False,3,,
14,Comment ID,stobew__,kmnt_ref,nchar,False,6,,
15,Job cost.price (eenheidsprijs),stobew__,prijs___,float,False,0,,
16,Market price,stobew__,markt___,float,False,0,,
17,,stobew__,kost____,float,False,0,,
18,,stobew__,toeslag_,float,False,0,,
19,Site (job),stobew__,doss_ord,nchar,False,2,,
20,,stobew__,doss_kst,nchar,False,2,,
21,Supplier ID,stobew__,lev__ref,nchar,False,6,,
22,Order ID,stobew__,grbonref,nchar,False,6,,
23,Order line item ID (Materials),stobew__,grs__vnr,nchar,False,6,,
24,Process ID (Supplier),stobew__,jobnrlev,nchar,False,40,,
25,Material note,stobew__,mat__ref,nchar,False,6,,
26,Process ID (CAPTOR),stobew__,job__inl,nchar,False,10,,
27,Invoice ID (Price),stobew__,fkgr_ref,nchar,False,6,,
28,Job ID,stobew__,ord__ref,nchar,False,6,,
29,Job part ID,stobew__,suborder,nchar,False,3,,
30,Press sheet ID,stobew__,kpn__ref,nchar,False,6,,
31,Press run ID,stobew__,dg___ref,nchar,False,6,,
32,Production flow ID,stobew__,production_flow_id,integer,True,0,,
33,Workstep ID,stobew__,workstep_id,integer,True,0,,
34,Run ID,stobew__,run_id,integer,True,0,,
35,Customer ID,stobew__,kla__ref,nchar,False,6,,
36,Productive,stobew__,produktf,nchar,False,1,Productief,
37,Cost category ID,stobew__,rbk__ref,nchar,False,6,,
38,Cost center ID,stobew__,wp___ref,nchar,False,4,,
39,Employee ID,stobew__,wn___ref,nchar,False,4,,
40,"indien verbruik,dan reservatie (ibsdpt)",stobew__,res__ref,nchar,False,6,,
