Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Invoice ID,wakpfr__,akp__ref,nchar,False,11,,
2,Journal ID,wakpfr__,dgbk_ref,nchar,False,3,,
3,Financial year ID,wakpfr__,bkj__ref,nchar,False,4,,
4,Invoice ID,wakpfr__,fak__ref,nchar,False,6,,
5,Invoice line item ID,wakpfr__,fakl_ref,nchar,False,10,,
6,Account,wakpfr__,fakr_ref,nchar,False,14,,
7,Account ID,wakpfr__,arek_ref,nchar,False,6,,
8,Total (for.cur.),wakpfr__,bedr__vm,float,False,0,,
9,Total,wakpfr__,bedr__bm,float,False,0,,
10,Ledger comment,wakpfr__,grtbkcom,nchar,False,40,,
11,Analytical level 1,wakpfr__,aniv1ref,nchar,False,10,,
12,Analytical level 2,wakpfr__,aniv2ref,nchar,False,10,,
13,Analytical level 3,wakpfr__,aniv3ref,nchar,False,10,,
14,Analytic: Cost center,wakpfr__,wp___ref,nchar,False,4,,
15,Analytic: Cost category,wakpfr__,ksrt_ref,nchar,False,3,,
16,Accompanying invoice account line,wakpfr__,pfakrref,nchar,False,14,,
17,VAT link,wakpfr__,btwlnkrf,nchar,False,6,,
18,VAT code,wakpfr__,btw_def_,nchar,False,1,,
19,% deductible,wakpfr__,btwa_pct,float,False,0,,
20,Deductible VAT (for.cur.),wakpfr__,btwa__vm,float,False,0,,
21,Deductible VAT,wakpfr__,btwa__bm,float,False,0,,
