Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Purchase invoice no.,wakpfk__,akp__ref,nchar,False,11,,
2,IBAN account,wakpfk__,ba_iban_,nchar,False,34,,
3,BIC/SWIFT code,wakpfk__,ba_bic__,nchar,False,11,,
4,Journal ID,wakpfk__,dgbk_ref,nchar,False,3,,
5,Financial year ID,wakpfk__,bkj__ref,nchar,False,4,,
6,Invoice ID,wakpfk__,fak__ref,nchar,False,6,,
7,Document type,wakpfk__,dok__srt,nchar,False,1,FactSoort,
8,Site ID,wakpfk__,dossier_,nchar,False,2,,
9,Supplier document no.,wakpfk__,doknrlev,nchar,False,29,,
10,Other software ID,wakpfk__,cde___ap,nchar,False,30,,
11,User,wakpfk__,user____,nchar,False,30,,
12,Process (Y/N),wakpfk__,verwerk_,nchar,False,1,,
13,Process ID,wakpfk__,jobnr_vw,nchar,False,10,,
14,Import Job ID,wakpfk__,job__inl,nchar,False,10,,
15,User latest modif.,wakpfk__,user_wij,nchar,False,30,,
16,Latest change date,wakpfk__,dat__wij,date,False,0,,
17,Supplier ID,wakpfk__,lev__ref,nchar,False,6,,
18,Supplier keyword,wakpfk__,lev__rpn,nchar,False,10,,
19,Period,wakpfk__,peri_ref,nchar,False,2,,
20,Input date,wakpfk__,ing__dat,date,False,0,,
21,Date of entry,wakpfk__,ins__dat,date,False,0,,
22,Document date,wakpfk__,dok__dat,date,False,0,,
23,Due date,wakpfk__,verv_dat,date,False,0,,
24,Currency ID,wakpfk__,munt_ref,nchar,False,3,,
25,No. of decimal places,wakpfk__,aant_dec,integer,False,0,,
26,Exchange rate,wakpfk__,koers___,float,False,0,,
27,VAT administration,wakpfk__,btw_beh_,nchar,False,1,,
28,Comment,wakpfk__,dok__com,nchar,False,40,,
29,Structured comment,wakpfk__,kom__ref,nchar,False,3,,
30,Taxable (for.cur.),wakpfk__,belastvm,float,False,0,,
31,Taxable,wakpfk__,belastbm,float,False,0,,
32,Total VAT,wakpfk__,btw___bm,float,False,0,,
33,BTW totaal (for.cur.),wakpfk__,btw___vm,float,False,0,,
34,Deductible VAT (for.cur.),wakpfk__,btwa__vm,float,False,0,,
35,Deductible VAT,wakpfk__,btwa__bm,float,False,0,,
36,Non deductible VAT (for.cur.),wakpfk__,btwna_vm,float,False,0,,
37,Non deductible VAT,wakpfk__,btwna_bm,float,False,0,,
38,Various (for.cur.),wakpfk__,diversvm,float,False,0,,
39,Various,wakpfk__,diversbm,float,False,0,,
40,Invoice amount total (for.cur.),wakpfk__,totaalvm,float,False,0,,
41,Invoice amount total,wakpfk__,totaalbm,float,False,0,,
42,Term of payment ID,wakpfk__,betk_ref,nchar,False,4,,
43,VAT percentage VAT code 0,wakpfk__,btw_pct0,float,False,0,,
44,VAT percentage VAT code 1,wakpfk__,btw_pct1,float,False,0,,
45,VAT percentage VAT code 2,wakpfk__,btw_pct2,float,False,0,,
46,VAT percentage VAT code 3,wakpfk__,btw_pct3,float,False,0,,
47,VAT percentage VAT code 4,wakpfk__,btw_pct4,float,False,0,,
48,VAT percentage VAT code 5,wakpfk__,btw_pct5,float,False,0,,
49,Manner of payment ID,wakpfk__,betw_ref,nchar,False,2,,
50,Country (Payment),wakpfk__,ba_landr,nchar,False,1,,
51,Bank account,wakpfk__,ba_bankr,nchar,False,40,,
52,Name (Payment),wakpfk__,ba_naam_,nchar,False,40,,
53,Street (Payment),wakpfk__,ba_straa,nchar,False,40,,
54,District (Payment),wakpfk__,ba_wijk_,nchar,False,40,,
55,Country (Payment),wakpfk__,ba_land_,nchar,False,3,,
56,Postal code (Payment),wakpfk__,ba_postr,nchar,False,40,,
57,City (Payment),wakpfk__,ba_postn,nchar,False,40,,
58,County (Payment),wakpfk__,ba_count,nchar,False,40,,
59,State (Payment),wakpfk__,ba_state,nchar,False,40,,
60,Comment (Payment),wakpfk__,ba_meded,nchar,False,40,,
61,Lock for payment,wakpfk__,blokkeer,nchar,False,1,,
62,Blocking comment,wakpfk__,ba_blcom,nchar,False,40,,
63,Responsible blocking,wakpfk__,ba_blusr,nchar,False,30,,
64,Status (01),wakpfk__,tstval01,nchar,False,4,,
65,Status (02),wakpfk__,tstval02,nchar,False,4,,
66,Status (03),wakpfk__,tstval03,nchar,False,4,,
67,Status (04),wakpfk__,tstval04,nchar,False,4,,
68,Status (05),wakpfk__,tstval05,nchar,False,4,,
69,Status (06),wakpfk__,tstval06,nchar,False,4,,
70,Status (07),wakpfk__,tstval07,nchar,False,4,,
71,Status (08),wakpfk__,tstval08,nchar,False,4,,
72,Status (09),wakpfk__,tstval09,nchar,False,4,,
73,Status (10),wakpfk__,tstval10,nchar,False,4,,
