Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Order ID,grdbon__,grbonref,nchar,False,6,,
2,Order date,grdbon__,bs___dat,date,False,0,,
3,Desired delivery date,grdbon__,glev_dat,date,False,0,,
4,Desired delivery time,grdbon__,glev_uur,nchar,False,6,,
5,Required shipment date,grdbon__,gvrz_dat,date,False,0,,
6,Desired shipment time,grdbon__,gvrz_uur,nchar,False,6,,
7,Transport zone ID,grdbon__,trn__ref,nchar,False,3,,
8,Transport rate ID,grdbon__,trnt_ref,nchar,False,3,,
9,Delivery address,grdbon__,lok__ref,nchar,False,6,,
10,Delivery location line 1,grdbon__,lev_loc1,nchar,False,100,,
11,Delivery location line 2,grdbon__,lev_loc2,nchar,False,40,,
12,Delivery location line 3,grdbon__,lev_loc3,nchar,False,40,,
13,Country ID,grdbon__,land_ref,nchar,False,3,,
14,Zipcode delivery location,grdbon__,post_ref,nchar,False,40,,
15,Supplier ID,grdbon__,lev__ref,nchar,False,6,,
16,Supplier keyword,grdbon__,lev__rpn,nchar,False,10,,
17,Contact supplier ID,grdbon__,knp__ref,nchar,False,3,,
18,Contact delivery location,grdbon__,knplocrf,nchar,False,3,,
19,Term of payment ID,grdbon__,betk_ref,nchar,False,4,,
20,Comment 1,grdbon__,grd__com,nchar,False,40,,
21,Comment 2,grdbon__,grd_com2,nchar,False,40,,
22,Ordered by whom,grdbon__,user____,nchar,False,30,,
23,Currency ID,grdbon__,munt_ref,nchar,False,3,,
24,No. of decimal places,grdbon__,aant_dec,integer,False,0,,
25,Rate of exchange,grdbon__,koers___,float,False,0,,
26,Process ID,grdbon__,jobnr_vw,nchar,False,10,,
27,Lay-out ID,grdbon__,grd__lay,nchar,False,2,,
28,Journal ID,grdbon__,dgbk_ref,nchar,False,3,,
29,Site ID,grdbon__,dossier_,nchar,False,2,,
30,EDI status,grdbon__,edi__tst,nchar,False,1,EDIToestand,
31,Total cost project,grdbon__,prjct_pr,float,False,0,,
32,Supplier ID (01),grdbon__,lev1_ref,nchar,False,6,,
33,Supplier ID (02),grdbon__,lev2_ref,nchar,False,6,,
34,Supplier ID (03),grdbon__,lev3_ref,nchar,False,6,,
35,Supplier (01),grdbon__,lev1__nm,nchar,False,40,,
36,Supplier (02),grdbon__,lev2__nm,nchar,False,40,,
37,Supplier (03),grdbon__,lev3__nm,nchar,False,40,,
38,Commentaar leverancier (01),grdbon__,lev1_kom,nchar,False,40,,
39,Commentaar leverancier (02),grdbon__,lev2_kom,nchar,False,40,,
40,Commentaar leverancier (03),grdbon__,lev3_kom,nchar,False,40,,
41,Supplier price (01),grdbon__,lev1__pr,float,False,0,,
42,Supplier price (02),grdbon__,lev2__pr,float,False,0,,
43,Supplier price (03),grdbon__,lev3__pr,float,False,0,,
44,Verantwoording project (01),grdbon__,verantw1,nchar,False,70,,
45,Verantwoording project (02),grdbon__,verantw2,nchar,False,70,,
46,Verantwoording project (03),grdbon__,verantw3,nchar,False,70,,
47,Delivery conditions supplier,grdbon__,levvwref,nchar,False,3,,
