Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,ID,drgtyp__,typ__ref,nchar,False,6,,
2,Keyword,drgtyp__,typ__rpn,nchar,False,25,,
3,"Front,rug,lijm",drgtyp__,typ__cod,nchar,False,1,Bedrukking,
4,Description,drgtyp__,typ__oms,nchar,False,40,,
5,Description (Language 1),drgtyp__,taal___1,nchar,False,40,,
6,Description (Language 2),drgtyp__,taal___2,nchar,False,40,,
7,Description (Language 3),drgtyp__,taal___3,nchar,False,40,,
8,Description (Language 4),drgtyp__,taal___4,nchar,False,40,,
9,Description (Language 5),drgtyp__,taal___5,nchar,False,40,,
10,Description (Language 6),drgtyp__,taal___6,nchar,False,40,,
11,Description (Language 7),drgtyp__,taal___7,nchar,False,40,,
12,Description (Language 8),drgtyp__,taal___8,nchar,False,40,,
13,Description (Language 9),drgtyp__,taal___9,nchar,False,40,,
