Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Substrate ID,drgers__,drg__ref,nchar,False,6,,
2,Substrate keyword,drgers__,drg__rpn,nchar,False,17,,
3,Blocked,drgers__,geblokk_,nchar,False,1,,
4,Front ID (Level 1),drgers__,typfrref,nchar,False,6,,
5,Front keyword (Level 1),drgers__,typfrrpn,nchar,False,25,,
6,Front ID (Level 2),drgers__,srtfrref,nchar,False,6,,
7,Front keyword (Level 2),drgers__,srtfrrpn,nchar,False,25,,
8,Backing ID (Level 1),drgers__,typrgref,nchar,False,6,,
9,Backing keyword (Level 1),drgers__,typrgrpn,nchar,False,25,,
10,Backing ID (Level 2),drgers__,srtrgref,nchar,False,6,,
11,Backing keyword (Level 2),drgers__,srtrgrpn,nchar,False,25,,
12,Adh. ID (Level 1),drgers__,typlmref,nchar,False,6,,
13,Adh. keyword (Level 1),drgers__,typlmrpn,nchar,False,25,,
14,Adh. ID (Level 2),drgers__,srtlmref,nchar,False,6,,
15,Adh. keyword (Level 2),drgers__,srtlmrpn,nchar,False,25,,
16,Substrate,drgers__,drg__oms,nchar,False,100,,
17,Grouping,drgers__,drg__grp,nchar,False,100,,
18,Supplier ID,drgers__,lev__ref,nchar,False,6,,
19,Supplier keyword,drgers__,lev__rpn,nchar,False,10,,
20,Ref. at supplier,drgers__,zyn__ref,nchar,False,50,,
21,EAN No.,drgers__,ean___13,nchar,False,13,,
22,Paper ID,drgers__,pap__ref,nchar,False,4,,
23,Paper type,drgers__,pap__srt,nchar,False,1,,
24,Certificate,drgers__,fsc__ref,nchar,False,20,,
25,Colour top side (only for sheetfed paper),drgers__,klr__ref_boven,nchar,False,3,,
26,Colour down side (only for sheetfed paper),drgers__,klr__ref_onder,nchar,False,3,,
27,Comment,drgers__,komment1,nchar,False,40,,
28,Comment,drgers__,komment2,nchar,False,40,,
29,Delivery date (days),drgers__,levtrm_d,integer,False,0,,
30,Delivery date (hours),drgers__,levtrm_u,nchar,False,6,,
31,Layout,drgers__,layoutnr,nchar,False,2,,
32,Import ID,drgers__,job__inl,nchar,False,10,,
33,Micro-metrical thickness,drgers__,diktemic,float,False,0,,
34,Grammage,drgers__,grammage,float,False,0,,
35,Surface (1),drgers__,oppervl1,float,False,0,,
36,Surface (2),drgers__,oppervl2,float,False,0,,
37,Surface (3),drgers__,oppervl3,float,False,0,,
38,Surface (4),drgers__,oppervl4,float,False,0,,
39,Surface (5),drgers__,oppervl5,float,False,0,,
40,Surface (6),drgers__,oppervl6,float,False,0,,
41,Surface (7),drgers__,oppervl7,float,False,0,,
42,Surface (8),drgers__,oppervl8,float,False,0,,
43,Surface (9),drgers__,oppervl9,float,False,0,,
44,Surface (10),drgers__,oppervla,float,False,0,,
45,Weight (1),drgers__,gewicht1,float,False,0,,
46,Weight (2),drgers__,gewicht2,float,False,0,,
47,Weight (3),drgers__,gewicht3,float,False,0,,
48,Weight (4),drgers__,gewicht4,float,False,0,,
49,Weight (5),drgers__,gewicht5,float,False,0,,
50,Weight (6),drgers__,gewicht6,float,False,0,,
51,Weight (7),drgers__,gewicht7,float,False,0,,
52,Weight (8),drgers__,gewicht8,float,False,0,,
53,Weight (9),drgers__,gewicht9,float,False,0,,
54,Weight (10),drgers__,gewichta,float,False,0,,
