Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Sequence number,afgkst__,afgvkref,nchar,False,10,,
2,"1 in voorraad,2 levering",afgkst__,soort___,nchar,False,1,,
3,Job ID,afgkst__,ord__ref,nchar,False,6,,
4,Version ID,afgkst__,vrs__ref,nchar,False,3,,
5,Order line item,afgkst__,lyn__ref,nchar,False,10,,
6,Product ID,afgkst__,afg__ref,nchar,False,6,,
7,Internal ID,afgkst__,afg2_ref,nchar,False,15,,
8,Product edition,afgkst__,versiref,nchar,False,3,,
9,Date,afgkst__,datum___,date,False,0,,
10,Wage cost,afgkst__,lonen___,float,False,0,,
11,Machine cost,afgkst__,machi___,float,False,0,,
12,Overheads,afgkst__,overhead,float,False,0,,
13,Paper cost,afgkst__,papier__,float,False,0,,
14,Material cost,afgkst__,grdvrb__,float,False,0,,
15,Cost outside service,afgkst__,ondaan__,float,False,0,,
16,Sales costs,afgkst__,vkp_kost,float,False,0,,
17,Administration cost,afgkst__,adm_kost,float,False,0,,
