Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Employee ID,hisatl__,wn___ref,nchar,False,4,,
2,Site ID,hisatl__,dos__ref,nchar,False,2,,
3,"a=aanwezigheid,b=job,c=verbruik",hisatl__,soort___,nchar,False,1,,
4,Date,hisatl__,datum___,date,False,0,,
5,Start,hisatl__,starten_,nchar,False,6,,
6,End,hisatl__,stoppen_,nchar,False,6,,
7,Quantity,hisatl__,aantal__,float,False,0,,
8,Cost center ID,hisatl__,wp___ref,nchar,False,4,,
9,Activity ID,hisatl__,akt__ref,nchar,False,2,,
10,Material ID,hisatl__,art__ref,nchar,False,15,,
11,SKU ID,hisatl__,artd_ref,nchar,False,6,,
12,Semi-finished goods ID,hisatl__,hlf__ref,nchar,False,9,,
13,No. of rolls,hisatl__,rollen__,float,False,0,,
14,Other web substrate (kg),hisatl__,andro_kg,nchar,False,1,,
15,Papierrollen: in kg of in meter ?,hisatl__,papr_kgm,nchar,False,1,,
16,"1=enkel voorraad verminderen,2=resterende voorraa",hisatl__,art__vrd,nchar,False,1,,
17,Job ID,hisatl__,ord__ref,nchar,False,6,,
18,Product part ID,hisatl__,suborder,nchar,False,3,,
19,Press sheet ID,hisatl__,kpn__ref,nchar,False,6,,
20,,hisatl__,dg___ref,nchar,False,6,,
21,Production flow ID,hisatl__,production_flow_id,integer,True,0,,
22,Workstep ID,hisatl__,workstep_id,integer,True,0,,
23,Run ID,hisatl__,run_id,integer,True,0,,
24,Production code,hisatl__,produktf,nchar,False,1,Productief,
25,Versions,hisatl__,vrs_refs,nchar,False,-1,,
26,Print form ID,hisatl__,vrm__ref,nchar,False,10,,
27,Comment ID,hisatl__,kom__ref,nchar,False,3,,
28,Comment,hisatl__,komment_,nchar,False,-1,,
