Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Calculation ID,v4off___,off__ref,nchar,False,6,,
2,Created by,v4off___,crea_usr,nchar,False,6,,
3,Sequence no.,v4off___,off__vnr,nchar,False,6,,
4,Calculation keyword,v4off___,off__rpn,nchar,False,10,,
5,Reference calculation ID,v4off___,off1_ref,nchar,False,6,,
6,Order date,v4off___,best_dat,date,False,0,,
7,Calculator,v4off___,user____,nchar,False,25,,
8,Latest change date,v4off___,wij__dat,date,False,0,,
9,Estimate ID,v4off___,bon__ref,nchar,False,6,,
10,Kind (Basis / Optie / Variante),v4off___,aard____,nchar,False,1,CalculatieSoort,
11,Customer ID,v4off___,kla__ref,nchar,False,6,,
12,Customer keyword,v4off___,kla__rpn,nchar,False,10,,
13,Customer group ID,v4off___,klgr_ref,nchar,False,12,,
14,Contact ID,v4off___,knp__ref,nchar,False,3,,
15,Representative ID,v4off___,vrt__ref,nchar,False,6,,
16,Supplier ID,v4off___,lev__ref,nchar,False,6,,
17,Project ID,v4off___,ktrk_ref,nchar,False,6,,
18,Ref. at customer,v4off___,rfrt_kla,nchar,False,25,,
19,Calculation: Locked,v4off___,lock_usr,nchar,False,1,,
20,Product type ID,v4off___,prd__ref,nchar,False,10,,
21,Kind of product,v4off___,kpn__srt,nchar,False,1,,
22,Description,v4off___,omschr__,nchar,False,50,,
23,Finishing type (indien boek),v4off___,afw__srt,nchar,False,1,,
24,Grouping ID,v4off___,vdt__ref,nchar,False,6,,
25,Finished size (Width),v4off___,gesl_bre,float,False,0,,
26,Finished size (Length),v4off___,gesl_len,float,False,0,,
27,Backing,v4off___,rug_____,float,False,0,,
28,Fold,v4off___,vouw____,float,False,0,,
29,Fold,v4off___,vouw___2,float,False,0,,
30,Flat size (Width),v4off___,open_bre,float,False,0,,
31,Flat size (Length),v4off___,open_len,float,False,0,,
32,Quantity,v4off___,oplage__,float,False,0,,
33,1: Prijs/ (opl__oms) 2: Price/1000,v4off___,opl__typ,nchar,False,1,,
34,Description: Quantity (Alternatieve eenheid),v4off___,opl__oms,nchar,False,15,,
35,Letter description: Quantity (Alternatieve eenheid),v4off___,opl__brf,nchar,False,15,,
36,No. of productions,v4off___,aantprod,integer,False,0,,
37,Delivery code,v4off___,plts_kod,nchar,False,1,Levering,
38,Other address ID,v4off___,lok__ref,nchar,False,6,,
39,Contact ID,v4off___,knplkref,nchar,False,3,,
40,Transport zone ID,v4off___,trn__ref,nchar,False,3,,
41,Transport rate ID,v4off___,trnt_ref,nchar,False,3,,
42,Transport text (Quote letter),v4off___,trn__brf,nchar,False,50,,
43,Paper certificate,v4off___,fsc__ref,nchar,False,20,,
44,Product group,v4off___,prkl_ref,nchar,False,12,,
45,Price type,v4off___,prys_srt,nchar,False,1,PrijsSoort,
46,Criterion,v4off___,krit___1,nchar,False,20,,
47,Criterion,v4off___,krit___2,nchar,False,20,,
48,Classification,v4off___,klassemt,nchar,False,20,,
49,Standard calculation,v4off___,offa_ref,nchar,False,6,,
50,Calculation ID basis quantity-variant,v4off___,offq_ref,nchar,False,6,,
51,Approval (Y/N),v4off___,fiat____,nchar,False,1,,
52,Type of production,v4off___,type_prd,nchar,False,1,OrderTypeProductie,
53,"Completely in Outside Services (1=Ja,2=Nee)",v4off___,type__oa,nchar,False,1,,
54,Financial costs (%),v4off___,pct__fin,float,False,0,,
55,Stock costs (%),v4off___,pct__stk,float,False,0,,
56,Suppl. comment,v4off___,brf____1,nchar,False,50,,
57,Suppl. comment,v4off___,brf____2,nchar,False,50,,
58,Suppl. comment,v4off___,brf____3,nchar,False,50,,
59,Suppl. comment,v4off___,brf____4,nchar,False,50,,
60,Suppl. comment,v4off___,brf____5,nchar,False,50,,
61,Comment: Quantity,v4off___,brf__opl,nchar,False,60,,
