Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Job ID,order___,ord__ref,nchar,False,6,,
2,Job keyword,order___,ord__rpn,nchar,False,10,,
3,Process ID,order___,jobnr_vw,nchar,False,10,,
4,Order date,order___,best_dat,date,False,0,,
5,Customer ID,order___,kla__ref,nchar,False,6,,
6,Customer keyword,order___,kla__rpn,nchar,False,10,,
7,Customer group ID (Lijsten),order___,klgr_ref,nchar,False,12,,
8,Contact ID,order___,knp__ref,nchar,False,3,,
9,Representative ID,order___,vrt__ref,nchar,False,6,,
10,,order___,kommiss_,float,False,0,,
11,Commission agent,order___,lev__ref,nchar,False,6,,
12,External commission,order___,kommiss2,float,False,0,,
13,Project ID,order___,ktrk_ref,nchar,False,6,,
14,Product type ID,order___,prd__ref,nchar,False,10,,
15,Kind of work,order___,kpn__srt,nchar,False,1,,
16,,order___,afw__srt,nchar,False,1,,
17,Job type,order___,type_ord,nchar,False,1,TypeOrder,
18,Product group ID,order___,prkl_ref,nchar,False,12,,
19,,order___,ean___nr,nchar,False,25,,
20,Description,order___,omschr__,nchar,False,50,,
21,Finished size width,order___,gesl_bre,float,False,0,,
22,Finished size height,order___,gesl_len,float,False,0,,
23,Backing,order___,rug_____,float,False,0,,
24,Fold,order___,vouw____,float,False,0,,
25,Fold,order___,vouw___2,float,False,0,,
26,Flat size width,order___,open_bre,float,False,0,,
27,Flat size height,order___,open_len,float,False,0,,
28,Quantity,order___,oplage__,float,False,0,,
29,Comparison quantity,order___,vglopl__,float,False,0,,
30,Cost center ID finishing machine,order___,wpafwref,nchar,False,4,,
31,,order___,plts_kod,nchar,False,1,Levering,
32,Delivery address ID,order___,lok__ref,nchar,False,6,,
33,,order___,knplkref,nchar,False,3,,
34,Transport zone ID,order___,trn__ref,nchar,False,3,,
35,Transport rate ID,order___,trnt_ref,nchar,False,3,,
36,Delivery date,order___,leverdat,date,False,0,,
37,Delivery time,order___,leveruur,nchar,False,6,,
38,"1=imperatief,2=+- 1dag,3=1 week,4=vrij",order___,leverkod,nchar,False,1,,
39,Delivery comment,order___,leverkom,nchar,False,4000,,
40,Certificate ID,order___,fsc__ref,nchar,False,20,,
41,Customer ID/order no.,order___,bsbn_kla,nchar,False,25,,
42,Batch ID,order___,lotnrkla,nchar,False,50,,
43,Ref. at customer,order___,refbykla,nchar,False,40,,
44,,order___,flms_ref,nchar,False,3,,
45,,order___,edi__idf,nchar,False,14,,
46,Specification supplier,order___,spec_lev,nchar,False,25,,
47,Artikel ref. (indien het besteld werd),order___,offa_ref,nchar,False,6,,
48,Estimate ID,order___,bon__ref,nchar,False,6,,
49,Calculation ID,order___,off__ref,nchar,False,6,,
50,Estimate date,order___,off__dat,date,False,0,,
51,Previous job,order___,vorigord,nchar,False,6,,
52,Expected amount,order___,voorz_bd,float,False,0,,
53,Criterion (01),order___,krit___1,nchar,False,20,,
54,Criterion (02),order___,krit___2,nchar,False,20,,
55,Comment ID,order___,kom__ref,nchar,False,3,,
56,Type of production,order___,type_prd,nchar,False,1,OrderTypeProductie,
57,Completely in Outside Services,order___,type__oa,nchar,False,1,OrderVolledigW3den,
58,Classification,order___,klassemt,nchar,False,20,,
59,"Free date (enkel in bestand,niet op schermen)",order___,vrij_dat,date,False,0,,
60,Ready to print,order___,goed_drk,date,False,0,,
61,,order___,goedudrk,nchar,False,6,,
62,,order___,goed_afw,date,False,0,,
63,,order___,goeduafw,nchar,False,6,,
64,Final production time,order___,goed_lev,date,False,0,,
65,Final production time (Hour),order___,goedulev,nchar,False,6,,
66,Final production time (manueel),order___,goed_lev_manueel,bit,False,0,,
67,,order___,plwy_ref,nchar,False,3,,
68,Scheduling model,order___,pmd__ref,nchar,False,15,,
