Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Material ID,artiky__,art__ref,nchar,False,15,,
2,Material type,artiky__,art__srt,nchar,False,1,SoortGrondstof,
3,Stock management,artiky__,art_vrrd,nchar,False,1,,
4,In price catalog,artiky__,art__pry,nchar,False,1,,
5,Material category,artiky__,artc_ref,nchar,False,6,,
6,Material keyword,artiky__,art__rpn,nchar,False,17,,
7,Material description,artiky__,art_oms1,nchar,False,250,,
8,Quality,artiky__,art_oms2,nchar,False,100,,
9,Paper type ID,artiky__,pap__ref,nchar,False,4,,
10,Substrate ID,artiky__,drg__ref,nchar,False,6,,
11,Grammage,artiky__,grammage,nchar,False,4,,
12,Grammage,artiky__,gramm___,float,False,0,,
13,Length (mm),artiky__,lengte__,float,False,0,,
14,Width (mm),artiky__,breedte_,float,False,0,,
15,Height (mm),artiky__,hoogte__,float,False,0,,
16,Length (outer) (mm),artiky__,lengte__out,float,False,0,,
17,Length (outer) (mm),artiky__,breedte_out,float,False,0,,
18,Height (outer) (mm),artiky__,hoogte__out,float,False,0,,
19,Grain direction,artiky__,looprich,nchar,False,1,Looprichting,
20,Colour,artiky__,klr__ref,nchar,False,3,,
21,Certificate,artiky__,fsc__ref,nchar,False,20,,
22,Micro-metrical thickness,artiky__,diktemic,float,False,0,,
23,Core thickness (mm),artiky__,dikte___,float,False,0,,
24,Diameter (mm),artiky__,diameter,float,False,0,,
25,End-of-life (Y/N),artiky__,uitgeput,nchar,False,1,,
26,End-of-life date,artiky__,uitg_dat,date,False,0,,
27,SKU,artiky__,detailyn,nchar,False,1,,
28,in stocklijst (Y/N),artiky__,stklyst_,nchar,False,1,,
29,In stock value,artiky__,inventyn,nchar,False,1,,
30,kontrole op verbruikt aantal - aantal in voorraad,artiky__,kontrole,nchar,False,1,,
31,"1=uit voorraad,2=bestellen,0=niet van toepassing",artiky__,bom__srt,nchar,False,1,,
32,Stock location,artiky__,lokatie_,nchar,False,20,,
33,No. of positions,artiky__,aant__pl,integer,False,0,,
34,Class ID,artiky__,klas_ref,nchar,False,1,,
35,Grouping ID,artiky__,stoc_ref,nchar,False,15,,
36,Min. stock,artiky__,min_stoc,float,False,0,,
37,Max. stock,artiky__,max_stoc,float,False,0,,
38,Packing description,artiky__,pak__oms,nchar,False,12,,
39,Packing content,artiky__,pak__inh,float,False,0,,
40,Axis weight,artiky__,as___gew,integer,False,0,,
41,Roll weight,artiky__,vast_gew,float,False,0,,
42,Customer ID,artiky__,kla__ref,nchar,False,6,,
43,Supplier ID,artiky__,lev__ref,nchar,False,6,,
44,Ref. at supplier,artiky__,zyn__ref,nchar,False,50,,
45,OK to order,artiky__,art__bst,nchar,False,1,,
46,Follow-up price,artiky__,nkp__det,nchar,False,1,OpvolgingNAK,
47,Calculation of job costing price,artiky__,nkp__srt,nchar,False,1,BerekeningNAK,
48,Surcharge,artiky__,prc__akp,float,False,0,,
49,Cost category ID,artiky__,rbk__ref,nchar,False,6,,
50,Purchase account (Cerm5),artiky__,akpr_ref,nchar,False,6,,
51,Market price,artiky__,markt___,float,False,0,,
52,Catalog price 1 (01),artiky__,katalo_1,float,False,0,,
53,Catalog price 1 (02),artiky__,katalo_2,float,False,0,,
54,Catalog price 1 (03),artiky__,katalo_3,float,False,0,,
55,Catalog price 1 (04),artiky__,katalo_4,float,False,0,,
56,Catalog price 1 (05),artiky__,katalo_5,float,False,0,,
57,Process ID,artiky__,jobnr_vw,nchar,False,10,,
58,Automatic catalogprice update,artiky__,jobnr_up,nchar,False,10,,
59,Kind of catalogue,artiky__,kat__srt,nchar,False,2,,
60,Lists title,artiky__,titel___,nchar,False,17,,
61,Comment,artiky__,kominfmx,nchar,False,50,,
62,Criterion,artiky__,zoekkrit,nchar,False,20,,
63,Call-off,artiky__,afroep__,nchar,False,1,,
64,Delivery date (days),artiky__,lev__trm,integer,False,0,,
65,Order term,artiky__,best_trm,integer,False,0,,
66,Credit account balance,artiky__,bcrerek1,nchar,False,6,,
67,Credit account balance (toeslagen),artiky__,bcrerek2,nchar,False,6,,
68,Debit account balance,artiky__,bdebrek1,nchar,False,6,,
69,Debit account balance (surcharge),artiky__,bdebrek2,nchar,False,6,,
70,Debit account balance (redo),artiky__,bdebrek3,nchar,False,6,,
71,Debit account balance (overdoen toeslag),artiky__,bdebrek4,nchar,False,6,,
72,Corrections costing account (quantity),artiky__,kst_rek1,nchar,False,6,,
73,Corrections costing account (value),artiky__,kst_rek2,nchar,False,6,,
74,Advantage price difference costing account,artiky__,kst_rek3,nchar,False,6,,
75,Disadvantage price difference costing account,artiky__,kst_rek4,nchar,False,6,,
76,Jobs costing account,artiky__,kst_rek5,nchar,False,6,,
77,Surcharge costing account,artiky__,kst_rek6,nchar,False,6,,
78,Redo costing account,artiky__,kst_rek7,nchar,False,6,,
79,Redo surcharge costing account,artiky__,kst_rek8,nchar,False,6,,
80,Analytical level (01),artiky__,aniv1ref,nchar,False,10,,
81,Analytical level (02),artiky__,aniv2ref,nchar,False,10,,
82,Analytical level (03),artiky__,aniv3ref,nchar,False,10,,
83,Cost center for analytical booking,artiky__,wp___ref,nchar,False,4,,
84,Cost category,artiky__,ksrt_ref,nchar,False,3,,
85,Site ID,artiky__,dossier_,nchar,False,2,,
86,Layout  - Reservation,artiky__,reslaynr,nchar,False,2,,
87,Layout  - Technische kaart,artiky__,ficlaynr,nchar,False,2,,
88,Layout  - Label,artiky__,etilaynr,nchar,False,2,,
89,Grammage ID,artiky__,grm__ref,nchar,False,4,,
90,Account,artiky__,arek_ref,nchar,False,6,,
91,VAT code,artiky__,btw_code,nchar,False,1,,
92,Fixed sales price,artiky__,markt_vs,float,False,0,,
93,Standard width (Y/N),artiky__,std__bre,nchar,False,1,,
94,Delivery date (days),artiky__,levtrm_d,integer,False,0,,
95,Delivery date (hours),artiky__,levtrm_u,nchar,False,6,,
96,Digital media,artiky__,digmedrf,nchar,False,6,,
97,basis size (US) Width,artiky__,basisbre,float,False,0,,
98,basis size (US) lengte,artiky__,basislen,float,False,0,,
99,Country origin,artiky__,kolom_6a,nchar,False,3,LandcodesIntrastat,
100,Commodity code,artiky__,kolom_10,nchar,False,20,,
101,,artiky__,land_productie,nchar,False,2,,
