Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Reference,drkgrv__,grv__ref,nchar,False,6,,
2,Keyword,drkgrv__,grv__rpn,nchar,False,10,,
3,Blocked,drkgrv__,geblokk_,nchar,False,1,,
4,Description,drkgrv__,omschr__,nchar,False,250,,
5,Comment,drkgrv__,comment_,nchar,False,-1,,
6,Type,drkgrv__,grv__srt,nchar,False,1,GrondstofVerbruikSoort,
7,Algorithm,drkgrv__,calcul__,nchar,False,-1,,
8,User variable 1 description,drkgrv__,varoms_1,nchar,False,50,,
9,User variable 2 description,drkgrv__,varoms_2,nchar,False,50,,
10,User variable 3 description,drkgrv__,varoms_3,nchar,False,50,,
11,User variable 1 unit,drkgrv__,varunit1,nchar,False,10,,
12,User variable 2 unit,drkgrv__,varunit2,nchar,False,10,,
13,User variable 3 unit,drkgrv__,varunit3,nchar,False,10,,
