Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,ID,hlfvrd__,hlf__ref,nchar,False,9,,
2,First SFG on fysical SKU,hlfvrd__,hlff_ref,nchar,False,9,,
3,Job ID,hlfvrd__,ord__ref,nchar,False,6,,
4,Job part ID,hlfvrd__,sub__ref,nchar,False,3,,
5,Version ID,hlfvrd__,vrs__ref,nchar,False,-1,,
6,Version,hlfvrd__,vrs__oms,nchar,False,50,,
7,Press sheet ID,hlfvrd__,kpn__ref,nchar,False,6,,
8,Print form ID,hlfvrd__,vrm__ref,nchar,False,10,,
9,Customer ID,hlfvrd__,kla__ref,nchar,False,6,,
10,Transportline ID,hlfvrd__,trnd_ref,nchar,False,10,,
11,Contents,hlfvrd__,inh__oms,nchar,False,50,,
12,Status 0=Not produced 1=Ongoing 2=Already consumed 3=Waste,hlfvrd__,toestand,nchar,False,1,,
13,Status quarantine,hlfvrd__,tst__qrt,nchar,False,1,QuarantaineToestand,
14,Creation date,hlfvrd__,datum_in,date,False,0,,
15,Creation time,hlfvrd__,uur___in,nchar,False,6,,
16,Cost center ID,hlfvrd__,wp___ref,nchar,False,4,,
17,Employee ID,hlfvrd__,wn___ref,nchar,False,4,,
18,Consumption date,hlfvrd__,datumuit,date,False,0,,
19,Consumption hour,hlfvrd__,uur__uit,nchar,False,6,,
20,Cost center (Consume),hlfvrd__,wp___uit,nchar,False,4,,
21,Employee (Consume),hlfvrd__,wn___uit,nchar,False,4,,
22,Consumed quantity,hlfvrd__,aant_uit,float,False,0,,
23,Consumed no. of meters,hlfvrd__,aantmuit,float,False,0,,
24,"Quantity (copies,enkel goede)",hlfvrd__,aant__in,float,False,0,,
25,Weight,hlfvrd__,gew___in,float,False,0,,
26,No. of meters (enkel goede),hlfvrd__,aantm_in,float,False,0,,
27,Totaal aantal meter (incl inschiet),hlfvrd__,totam_in,float,False,0,,
28,Quant. in quarantine,hlfvrd__,in___qrt,float,False,0,,
29,Packing procedure ID,hlfvrd__,vpak_ref,nchar,False,3,,
30,Packing variant ID,hlfvrd__,vpk__ref,nchar,False,6,,
31,Amount unit 1 in unit 2,hlfvrd__,inh_e1e2,float,False,0,,
32,Amount unit 2 in unit 3,hlfvrd__,inh_e2e3,float,False,0,,
33,Amount unit 3 in unit 4,hlfvrd__,inh_e3e4,float,False,0,,
34,Amount unit 4 in unit 5,hlfvrd__,inh_e4e5,float,False,0,,
35,Quantity (Unit 2),hlfvrd__,aantale2,float,False,0,,
36,Quantity (Unit 3),hlfvrd__,aantale3,float,False,0,,
37,Quantity (Unit 4),hlfvrd__,aantale4,float,False,0,,
38,Quantity (Unit 5),hlfvrd__,aantale5,float,False,0,,
39,Start production,hlfvrd__,dt___beg,datetime2,False,0,,
40,End production,hlfvrd__,dt___end,datetime2,False,0,,
41,PLC counter start,hlfvrd__,plc__beg,float,False,0,,
42,PLC counter end,hlfvrd__,plc__end,float,False,0,,
43,Sequence nr. in pallets series,hlfvrd__,vlgnrpal,integer,False,0,,
44,Amount of pallets in pallets series,hlfvrd__,aant_pal,integer,False,0,,
45,Stock location ID,hlfvrd__,vak__ref,nchar,False,10,,
46,Comment 1,hlfvrd__,komment1,nchar,False,50,,
47,Comment 2,hlfvrd__,komment2,nchar,False,50,,
48,Comment 3,hlfvrd__,komment3,nchar,False,50,,
49,Comment 4,hlfvrd__,komment4,nchar,False,50,,
50,Comment 5,hlfvrd__,komment5,nchar,False,50,,
51,Comm. quarantine,hlfvrd__,komm_qrt,nchar,False,50,,
52,Production flow ID,hlfvrd__,production_flow_id,integer,True,0,,
53,Workstep ID,hlfvrd__,workstep_id,integer,True,0,,
54,Run ID,hlfvrd__,run_id,integer,True,0,,
55,Resource ID,hlfvrd__,resource_id,integer,True,0,,
