Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Identification,w_pnt2__,idf_pnt2,nchar,False,10,,
2,Site ID,w_pnt2__,dos__ref,nchar,False,2,,
3,Import Job ID,w_pnt2__,job__inl,nchar,False,10,,
4,Process (Y/N),w_pnt2__,verwerk_,nchar,False,1,,
5,Employee ID,w_pnt2__,wn___ref,nchar,False,4,,
6,Date,w_pnt2__,datum___,date,False,0,,
7,Start,w_pnt2__,starten_,nchar,False,6,,
8,Stop,w_pnt2__,stoppen_,nchar,False,6,,
9,Cost center ID,w_pnt2__,wp___ref,nchar,False,4,,
10,Activity ID,w_pnt2__,akt__ref,nchar,False,2,,
11,Produktief (Rework),w_pnt2__,produktf,nchar,False,1,,
12,Job ID,w_pnt2__,ord__ref,nchar,False,6,,
13,Job part ID,w_pnt2__,suborder,nchar,False,3,,
14,Press sheet ID,w_pnt2__,kpn__ref,nchar,False,6,,
15,Press run ID,w_pnt2__,dg___ref,nchar,False,6,,
16,Productionf flow ID,w_pnt2__,production_flow_id,integer,True,0,,
17,Workstep ID,w_pnt2__,workstep_id,integer,True,0,,
18,Run ID,w_pnt2__,run_id,integer,True,0,,
19,Versions,w_pnt2__,vrs_refs,nchar,False,-1,,
20,Print form ID,w_pnt2__,vrm__ref,nchar,False,10,,
21,Product ID,w_pnt2__,afg__ref,nchar,False,6,,
22,Quantity,w_pnt2__,aantal__,float,False,0,,
23,Comment ID,w_pnt2__,kom__ref,nchar,False,3,,
24,Comment,w_pnt2__,komment_,nchar,False,-1,,
25,Split percentage job grouping,w_pnt2__,prc_____,float,False,0,,
26,Answer (01),w_pnt2__,antw__01,float,False,0,,
27,Answer (02),w_pnt2__,antw__02,float,False,0,,
28,Answer (03),w_pnt2__,antw__03,float,False,0,,
29,Answer (04),w_pnt2__,antw__04,float,False,0,,
30,Answer (05),w_pnt2__,antw__05,float,False,0,,
31,Answer (06),w_pnt2__,antw__06,float,False,0,,
32,Answer (07),w_pnt2__,antw__07,float,False,0,,
33,Answer (08),w_pnt2__,antw__08,float,False,0,,
34,Answer (09),w_pnt2__,antw__09,float,False,0,,
35,Answer (10),w_pnt2__,antw__10,float,False,0,,
