Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
1,Sequence no.,w_vrb2__,idf_vrb2,nchar,False,6,,
2,Site ID,w_vrb2__,dos__ref,nchar,False,2,,
3,Import Job ID,w_vrb2__,job__inl,nchar,False,10,,
4,Process (Y/N),w_vrb2__,verwerk_,nchar,False,1,,
5,Material type,w_vrb2__,art__srt,nchar,False,1,SoortGrondstof,
6,Material ID,w_vrb2__,art__ref,nchar,False,15,,
7,SKU ID,w_vrb2__,artd_ref,nchar,False,6,,
8,Quantity,w_vrb2__,aantal__,float,False,0,,
9,No. of rolls,w_vrb2__,rollen__,float,False,0,,
10,Other web substrate (kg),w_vrb2__,andro_kg,nchar,False,1,,
11,Ingave papier (kg of meter),w_vrb2__,papr_kgm,nchar,False,1,,
12,"1=enkel voorraad verminderen,2=resterende voorraad",w_vrb2__,art__vrd,nchar,False,1,,
13,Date,w_vrb2__,datum___,date,False,0,,
14,hour,w_vrb2__,uur_____,nchar,False,6,,
15,Job ID,w_vrb2__,ord__ref,nchar,False,6,,
16,Job part ID,w_vrb2__,suborder,nchar,False,3,,
17,Press sheet ID,w_vrb2__,kpn__ref,nchar,False,6,,
18,Press run ID,w_vrb2__,dg___ref,nchar,False,6,,
19,Production flow ID,w_vrb2__,production_flow_id,integer,True,0,,
20,Workstep ID,w_vrb2__,workstep_id,integer,True,0,,
21,,w_vrb2__,run_id,integer,True,0,,
22,"Produktief (gewoon,herdoen,supplement)",w_vrb2__,produktf,nchar,False,1,,
23,Complete,w_vrb2__,volledig,nchar,False,1,,
24,Comment ID,w_vrb2__,kom__ref,nchar,False,3,,
25,Comment,w_vrb2__,komment_,nchar,False,-1,,
26,Cost center ID,w_vrb2__,wp___ref,nchar,False,4,,
27,Employee ID,w_vrb2__,wn___ref,nchar,False,4,,
28,Credit account balance,w_vrb2__,bcrerek1,nchar,False,6,,
29,Credit account balance (Surcharge),w_vrb2__,bcrerek2,nchar,False,6,,
30,Banace sheet debit account,w_vrb2__,bdebrek1,nchar,False,6,,
31,Bedrag debet rekening (Surcharge),w_vrb2__,bdebrek2,nchar,False,6,,
32,Bedrag debet rekening (Rework),w_vrb2__,bdebrek3,nchar,False,6,,
33,Bedrag debet rekening (Rework) (Surcharge),w_vrb2__,bdebrek4,nchar,False,6,,
